ID,INH,RIF,EMB,MXF,ETH,AMI,PTM,BDQ,LZD,SQ109,INH_lower_bound,INH_midpoint,INH_upper_bound,RIF_lower_bound,RIF_midpoint,RIF_upper_bound,EMB_lower_bound,EMB_upper_bound,EMB_midpoint,MXF_lower_bound,MXF_upper_bound,MXF_midpoint,ETH_lower_bound,ETH_upper_bound,ETH_midpoint,AMI_lower_bound,AMI_upper_bound,AMI_midpoint,PTM_lower_bound,PTM_upper_bound,PTM_midpoint,BDQ_lower_bound,BDQ_upper_bound,BDQ_midpoint,LZD_lower_bound,LZD_upper_bound,LZD_midpoint,SQ109_lower_bound,SQ109_upper_bound,SQ109_midpoint,TDR_Sample,ROLLINGDB_ID,INH_lower_bound_NORM,INH_midpoint_NORM,INH_upper_bound_NORM,RIF_lower_bound_NORM,RIF_midpoint_NORM,RIF_upper_bound_NORM,EMB_lower_bound_NORM,EMB_upper_bound_NORM,EMB_midpoint_NORM,MXF_lower_bound_NORM,MXF_upper_bound_NORM,MXF_midpoint_NORM,ETH_lower_bound_NORM,ETH_upper_bound_NORM,ETH_midpoint_NORM,AMI_lower_bound_NORM,AMI_upper_bound_NORM,AMI_midpoint_NORM,PTM_lower_bound_NORM,PTM_upper_bound_NORM,PTM_midpoint_NORM,BDQ_lower_bound_NORM,BDQ_upper_bound_NORM,BDQ_midpoint_NORM,LZD_lower_bound_NORM,LZD_upper_bound_NORM,LZD_midpoint_NORM,SQ109_lower_bound_NORM,SQ109_upper_bound_NORM,SQ109_midpoint_NORM,INH_lower_bound_NORM_NORM,INH_midpoint_NORM_NORM,INH_upper_bound_NORM_NORM,RIF_lower_bound_NORM_NORM,RIF_midpoint_NORM_NORM,RIF_upper_bound_NORM_NORM,EMB_lower_bound_NORM_NORM,EMB_upper_bound_NORM_NORM,EMB_midpoint_NORM_NORM,MXF_lower_bound_NORM_NORM,MXF_upper_bound_NORM_NORM,MXF_midpoint_NORM_NORM,ETH_lower_bound_NORM_NORM,ETH_upper_bound_NORM_NORM,ETH_midpoint_NORM_NORM,AMI_lower_bound_NORM_NORM,AMI_upper_bound_NORM_NORM,AMI_midpoint_NORM_NORM,PTM_lower_bound_NORM_NORM,PTM_upper_bound_NORM_NORM,PTM_midpoint_NORM_NORM,BDQ_lower_bound_NORM_NORM,BDQ_upper_bound_NORM_NORM,BDQ_midpoint_NORM_NORM,LZD_lower_bound_NORM_NORM,LZD_upper_bound_NORM_NORM,LZD_midpoint_NORM_NORM,SQ109_lower_bound_NORM_NORM,SQ109_upper_bound_NORM_NORM,SQ109_midpoint_NORM_NORM
TDR_001,≤0.25,≥8,0.5,1,4,0.5,2,0.5,1,2,0.0,0.0244125,0.048825,0.0936,0.0936,inf,0.7825,1.565,1.17375,0.03905,0.0781,0.058575,12.0,24.0,18.0,0.1,0.2,0.15,0.2,0.4,0.3,0.025,0.05,0.0375,0.488,0.976,0.732,0.7,1.4,1.0499999999999998,TDR_1,SAMEA5282322,0.0,0.000653850777825,0.00130770155565,0.0009012180528,0.0009012180528,inf,0.50040115975,1.0008023195,0.750601739625,0.00122428322115,0.0024485664423,0.001836424831725,11.96928,23.938560000000003,17.953920000000004,0.0234244,0.0468488,0.0351366,0.0143704,0.0287408,0.0215555999999999,0.00138875,0.0027775,0.002083125,0.1606757567999999,0.3213515135999999,0.2410136352,0.1619744,0.3239488,0.2429615999999999,0.0,1.7512374384530777e-05,3.5024748769061554e-05,8.677286097143414e-06,8.677286097143414e-06,inf,0.3200016877688754,0.6400033755377508,0.4800025316533131,3.8383339451713695e-05,7.676667890342739e-05,5.757500917757054e-05,11.938638643200004,23.877277286400005,17.907957964800005,0.0054870251536,0.0109740503072,0.0082305377303999,0.0010325419808,0.0020650839616,0.0015488129711999,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0529030713591244,0.1058061427182489,0.0793546070386867,0.0374795803647999,0.0749591607295999,0.0562193705471999
TDR_005,1,≤0.25,0.5,1,≥8,1,2,0.5,1,1,0.09765,0.146475,0.1953,0.0,0.0014625,0.002925,0.7825,1.565,1.17375,0.03905,0.0781,0.058575,48.0,inf,48.0,0.2,0.4,0.3,0.2,0.4,0.3,0.025,0.05,0.0375,0.488,0.976,0.732,0.35,0.7,0.5249999999999999,TDR_5,SAMEA5282498,0.0026154031113,0.00392310466695,0.0052308062226,0.0,1.4081532075e-05,2.816306415e-05,0.50040115975,1.0008023195,0.750601739625,0.00122428322115,0.0024485664423,0.001836424831725,47.877120000000005,inf,47.877120000000005,0.0468488,0.0936976,0.0702732,0.0143704,0.0287408,0.0215555999999999,0.00138875,0.0027775,0.002083125,0.1606757567999999,0.3213515135999999,0.2410136352,0.0809872,0.1619744,0.1214807999999999,7.004949753812311e-05,0.0001050742463071,0.0001400989950762,0.0,1.3558259526786585e-07,2.711651905357317e-07,0.3200016877688754,0.6400033755377508,0.4800025316533131,3.8383339451713695e-05,7.676667890342739e-05,5.757500917757054e-05,47.75455457280001,inf,47.75455457280001,0.0109740503072,0.0219481006144,0.0164610754607999,0.0010325419808,0.0020650839616,0.0015488129711999,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0529030713591244,0.1058061427182489,0.0793546070386867,0.0187397901823999,0.0374795803647999,0.0281096852735999
TDR_006,≥8,≥8,4,0.5,4,4,1,0.5,1,1,1.5624,1.5624,inf,0.0936,0.0936,inf,6.26,12.52,9.39,0.019525,0.03905,0.0292875,12.0,24.0,18.0,0.8,1.6,1.2000000000000002,0.1,0.2,0.15,0.025,0.05,0.0375,0.488,0.976,0.732,0.35,0.7,0.5249999999999999,TDR_6,SAMEA5282509,0.0418464497808,0.0418464497808,inf,0.0009012180528,0.0009012180528,inf,4.003209278,8.006418556,6.004813917,0.000612141610575,0.00122428322115,0.0009182124158625,11.96928,23.938560000000003,17.953920000000004,0.1873952,0.3747904,0.2810928,0.0071852,0.0143704,0.0107777999999999,0.00138875,0.0027775,0.002083125,0.1606757567999999,0.3213515135999999,0.2410136352,0.0809872,0.1619744,0.1214807999999999,0.0011207919606099,0.0011207919606099,inf,8.677286097143414e-06,8.677286097143414e-06,inf,2.560013502151003,5.120027004302006,3.8400202532265046,1.9191669725856847e-05,3.8383339451713695e-05,2.878750458878527e-05,11.938638643200004,23.877277286400005,17.907957964800005,0.0438962012288,0.0877924024576,0.0658443018432,0.0005162709904,0.0010325419808,0.0007744064855999,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0529030713591244,0.1058061427182489,0.0793546070386867,0.0187397901823999,0.0374795803647999,0.0281096852735999
TDR_007,≥8,4,1,1,2,1,2,1,0.5,0.5,1.5624,1.5624,inf,0.0234,0.0351,0.0468,1.565,3.13,2.3475,0.03905,0.0781,0.058575,6.0,12.0,9.0,0.2,0.4,0.3,0.2,0.4,0.3,0.05,0.1,0.075,0.244,0.488,0.366,0.175,0.35,0.2624999999999999,TDR_7,SAMEA5282520,0.0418464497808,0.0418464497808,inf,0.0002253045132,0.0003379567698,0.0004506090264,1.0008023195,2.001604639,1.50120347925,0.00122428322115,0.0024485664423,0.001836424831725,5.984640000000001,11.96928,8.976960000000002,0.0468488,0.0936976,0.0702732,0.0143704,0.0287408,0.0215555999999999,0.0027775,0.005555,0.00416625,0.0803378783999999,0.1606757567999999,0.1205068176,0.0404936,0.0809872,0.0607403999999999,0.0011207919606099,0.0011207919606099,inf,2.1693215242858536e-06,3.2539822864287804e-06,4.338643048571707e-06,0.6400033755377508,1.2800067510755015,0.9600050633066262,3.8383339451713695e-05,7.676667890342739e-05,5.757500917757054e-05,5.969319321600001,11.938638643200004,8.953978982400002,0.0109740503072,0.0219481006144,0.0164610754607999,0.0010325419808,0.0020650839616,0.0015488129711999,0.000154290125,0.00030858025,0.0002314351875,0.0264515356795622,0.0529030713591244,0.0396773035193433,0.0093698950911999,0.0187397901823999,0.0140548426367999
TDR_019,≥8,2,2,0.5,≥8,0.5,1,0.5,≤0.25,1,1.5624,1.5624,inf,0.0117,0.01755,0.0234,3.13,6.26,4.695,0.019525,0.03905,0.0292875,48.0,inf,48.0,0.1,0.2,0.15,0.1,0.2,0.15,0.025,0.05,0.0375,0.0,0.244,0.122,0.35,0.7,0.5249999999999999,TDR_19,SAMEA5282422,0.0418464497808,0.0418464497808,inf,0.0001126522566,0.0001689783849,0.0002253045132,2.001604639,4.003209278,3.0024069585,0.000612141610575,0.00122428322115,0.0009182124158625,47.877120000000005,inf,47.877120000000005,0.0234244,0.0468488,0.0351366,0.0071852,0.0143704,0.0107777999999999,0.00138875,0.0027775,0.002083125,0.0,0.0803378783999999,0.0401689391999999,0.0809872,0.1619744,0.1214807999999999,0.0011207919606099,0.0011207919606099,inf,1.0846607621429268e-06,1.6269911432143902e-06,2.1693215242858536e-06,1.2800067510755015,2.560013502151003,1.9200101266132523,1.9191669725856847e-05,3.8383339451713695e-05,2.878750458878527e-05,47.75455457280001,inf,47.75455457280001,0.0054870251536,0.0109740503072,0.0082305377303999,0.0005162709904,0.0010325419808,0.0007744064855999,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0,0.0264515356795622,0.0132257678397811,0.0187397901823999,0.0374795803647999,0.0281096852735999
TDR_021,≥8,4,≥8,≤0.25,4,1,1,0.5,1,1,1.5624,1.5624,inf,0.0234,0.0351,0.0468,25.04,inf,25.04,0.0,0.019525,0.0097625,12.0,24.0,18.0,0.2,0.4,0.3,0.1,0.2,0.15,0.025,0.05,0.0375,0.488,0.976,0.732,0.35,0.7,0.5249999999999999,TDR_21,SAMEA5282445,0.0418464497808,0.0418464497808,inf,0.0002253045132,0.0003379567698,0.0004506090264,16.012837112,inf,16.012837112,0.0,0.000612141610575,0.0003060708052875,11.96928,23.938560000000003,17.953920000000004,0.0468488,0.0936976,0.0702732,0.0071852,0.0143704,0.0107777999999999,0.00138875,0.0027775,0.002083125,0.1606757567999999,0.3213515135999999,0.2410136352,0.0809872,0.1619744,0.1214807999999999,0.0011207919606099,0.0011207919606099,inf,2.1693215242858536e-06,3.2539822864287804e-06,4.338643048571707e-06,10.240054008604012,inf,10.240054008604012,0.0,1.9191669725856847e-05,9.595834862928424e-06,11.938638643200004,23.877277286400005,17.907957964800005,0.0109740503072,0.0219481006144,0.0164610754607999,0.0005162709904,0.0010325419808,0.0007744064855999,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0529030713591244,0.1058061427182489,0.0793546070386867,0.0187397901823999,0.0374795803647999,0.0281096852735999
TDR_028,≥8,4,1,≤0.25,4,1,4,0.5,1,1,1.5624,1.5624,inf,0.0234,0.0351,0.0468,1.565,3.13,2.3475,0.0,0.019525,0.0097625,12.0,24.0,18.0,0.2,0.4,0.3,0.4,0.8,0.6000000000000001,0.025,0.05,0.0375,0.488,0.976,0.732,0.35,0.7,0.5249999999999999,TDR_28,SAMEA5282474,0.0418464497808,0.0418464497808,inf,0.0002253045132,0.0003379567698,0.0004506090264,1.0008023195,2.001604639,1.50120347925,0.0,0.000612141610575,0.0003060708052875,11.96928,23.938560000000003,17.953920000000004,0.0468488,0.0936976,0.0702732,0.0287408,0.0574816,0.0431112,0.00138875,0.0027775,0.002083125,0.1606757567999999,0.3213515135999999,0.2410136352,0.0809872,0.1619744,0.1214807999999999,0.0011207919606099,0.0011207919606099,inf,2.1693215242858536e-06,3.2539822864287804e-06,4.338643048571707e-06,0.6400033755377508,1.2800067510755015,0.9600050633066262,0.0,1.9191669725856847e-05,9.595834862928424e-06,11.938638643200004,23.877277286400005,17.907957964800005,0.0109740503072,0.0219481006144,0.0164610754607999,0.0020650839616,0.0041301679232,0.0030976259424,7.714506250000002e-05,0.000154290125,0.00011571759375,0.0529030713591244,0.1058061427182489,0.0793546070386867,0.0187397901823999,0.0374795803647999,0.0281096852735999
TDR_029,1,0.5,0.5,0.5,0.5,≤0.25,1,1,0.5,0.5,0.09765,0.146475,0.1953,0.002925,0.0043875,0.00585,0.7825,1.565,1.17375,0.019525,0.03905,0.0292875,1.5,3.0,2.25,0.0,0.1,0.05,0.1,0.2,0.15,0.05,0.1,0.075,0.244,0.488,0.366,0.175,0.35,0.2624999999999999,TDR_29,SAMEA5282475,0.0026154031113,0.00392310466695,0.0052308062226,2.816306415e-05,4.2244596225e-05,5.63261283e-05,0.50040115975,1.0008023195,0.750601739625,0.000612141610575,0.00122428322115,0.0009182124158625,1.4961600000000002,2.9923200000000003,2.2442400000000005,0.0,0.0234244,0.0117122,0.0071852,0.0143704,0.0107777999999999,0.0027775,0.005555,0.00416625,0.0803378783999999,0.1606757567999999,0.1205068176,0.0404936,0.0809872,0.0607403999999999,7.004949753812311e-05,0.0001050742463071,0.0001400989950762,2.711651905357317e-07,4.067477858035977e-07,5.423303810714634e-07,0.3200016877688754,0.6400033755377508,0.4800025316533131,1.9191669725856847e-05,3.8383339451713695e-05,2.878750458878527e-05,1.4923298304000003,2.9846596608000007,2.2384947456000006,0.0,0.0054870251536,0.0027435125768,0.0005162709904,0.0010325419808,0.0007744064855999,0.000154290125,0.00030858025,0.0002314351875,0.0264515356795622,0.0529030713591244,0.0396773035193433,0.0093698950911999,0.0187397901823999,0.0140548426367999
TDR_031,≥8,≥8,4,1,2,≥8,1,≤0.25,0.5,0.5,1.5624,1.5624,inf,0.0936,0.0936,inf,6.26,12.52,9.39,0.03905,0.0781,0.058575,6.0,12.0,9.0,3.2,inf,3.2,0.1,0.2,0.15,0.0,0.025,0.0125,0.244,0.488,0.366,0.175,0.35,0.2624999999999999,TDR_31,SAMEA5282478,0.0418464497808,0.0418464497808,inf,0.0009012180528,0.0009012180528,inf,4.003209278,8.006418556,6.004813917,0.00122428322115,0.0024485664423,0.001836424831725,5.984640000000001,11.96928,8.976960000000002,0.7495808,inf,0.7495808,0.0071852,0.0143704,0.0107777999999999,0.0,0.00138875,0.000694375,0.0803378783999999,0.1606757567999999,0.1205068176,0.0404936,0.0809872,0.0607403999999999,0.0011207919606099,0.0011207919606099,inf,8.677286097143414e-06,8.677286097143414e-06,inf,2.560013502151003,5.120027004302006,3.8400202532265046,3.8383339451713695e-05,7.676667890342739e-05,5.757500917757054e-05,5.969319321600001,11.938638643200004,8.953978982400002,0.1755848049152,inf,0.1755848049152,0.0005162709904,0.0010325419808,0.0007744064855999,0.0,7.714506250000002e-05,3.857253125000001e-05,0.0264515356795622,0.0529030713591244,0.0396773035193433,0.0093698950911999,0.0187397901823999,0.0140548426367999
TDR_032,≥8,≥8,4,≤0.25,2,≤0.25,1,≤0.25,≤0.25,≤0.25,1.5624,1.5624,inf,0.0936,0.0936,inf,6.26,12.52,9.39,0.0,0.019525,0.0097625,6.0,12.0,9.0,0.0,0.1,0.05,0.1,0.2,0.15,0.0,0.025,0.0125,0.0,0.244,0.122,0.0,0.175,0.0875,TDR_32,SAMEA5282479,0.0418464497808,0.0418464497808,inf,0.0009012180528,0.0009012180528,inf,4.003209278,8.006418556,6.004813917,0.0,0.000612141610575,0.0003060708052875,5.984640000000001,11.96928,8.976960000000002,0.0,0.0234244,0.0117122,0.0071852,0.0143704,0.0107777999999999,0.0,0.00138875,0.000694375,0.0,0.0803378783999999,0.0401689391999999,0.0,0.0404936,0.0202468,0.0011207919606099,0.0011207919606099,inf,8.677286097143414e-06,8.677286097143414e-06,inf,2.560013502151003,5.120027004302006,3.8400202532265046,0.0,1.9191669725856847e-05,9.595834862928424e-06,5.969319321600001,11.938638643200004,8.953978982400002,0.0,0.0054870251536,0.0027435125768,0.0005162709904,0.0010325419808,0.0007744064855999,0.0,7.714506250000002e-05,3.857253125000001e-05,0.0,0.0264515356795622,0.0132257678397811,0.0,0.0093698950911999,0.0046849475455999
