ID,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,MEDIA,RIF,INH,RFB,BDQ,EMB,STR,KAN,AMI,CAP,OFX,LEV,MXF,ETH,PAS,CYS,LIN,CFZ,AMI_PHENOTYPE_QUALITY,CYS_PHENOTYPE_QUALITY,EMB_PHENOTYPE_QUALITY,ETH_PHENOTYPE_QUALITY,INH_PHENOTYPE_QUALITY,KAN_PHENOTYPE_QUALITY,MXF_PHENOTYPE_QUALITY,OFX_PHENOTYPE_QUALITY,PAS_PHENOTYPE_QUALITY,RFB_PHENOTYPE_QUALITY,RIF_PHENOTYPE_QUALITY,STR_PHENOTYPE_QUALITY
20542,20542,,Cox,Not specified,MGIT,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21849,21849,,Cox,Not specified,MGIT,0.062,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
23768,23768,,Cox,Not specified,MGIT,5.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24304,24304,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
26243,26243,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
30571,30571,,Cox,Not specified,MGIT,0.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
23727,23727,,Cox,Not specified,MGIT,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23886,23886,,Cox,Not specified,MGIT,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22755,22755,,Cox,Not specified,MGIT,0.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21839,21839,,Cox,Not specified,MGIT,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21573,21573,,Cox,Not specified,MGIT,0.25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23194,23194,,Cox,Not specified,MGIT,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
22480,22480,,Cox,Not specified,MGIT,0.062,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
22054,22054,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20983,20983,,Cox,Not specified,MGIT,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21497,21497,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
24260,24260,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21149,21149,,Cox,Not specified,MGIT,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29846,29846,,Cox,Not specified,MGIT,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25496,25496,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21363,21363,,Cox,Not specified,MGIT,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
29598,29598,,Cox,Not specified,MGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30544,30544,,Cox,Not specified,MGIT,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22598,22598,,Cox,Not specified,MGIT,0.062,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29834,29834,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21586,21586,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21324,21324,,Cox,Not specified,MGIT,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26228,26228,,Cox,Not specified,MGIT,10.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28581,28581,,Cox,Not specified,MGIT,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
26927,26927,,Cox,Not specified,MGIT,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29816,29816,,Cox,Not specified,MGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24103,24103,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
27186,27186,,Cox,Not specified,MGIT,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23571,23571,,Cox,Not specified,MGIT,0.062,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20802,20802,,Cox,Not specified,MGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26936,26936,,Cox,Not specified,MGIT,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21893,21893,,Cox,Not specified,MGIT,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26987,26987,,Cox,Not specified,MGIT,5.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
25962,25962,,Cox,Not specified,MGIT,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
28017,28017,,Cox,Not specified,MGIT,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22514,22514,,Cox,Not specified,MGIT,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27273,27273,,Cox,Not specified,MGIT,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29784,29784,,Cox,Not specified,MGIT,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
30609,30609,,Cox,Not specified,MGIT,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
