Serial No.,Original ID,GReAT ID,Judgement,Medium,INH,RFP,RFB,EB,SM,KM,AMK,CPM,OFLX,LVFX,MFLX,TH,PAS,CS,LZD,MEP/CV,EVM,,Original ID,Judgement (w),Method,INH 0.2,INH 1.0,RFP 40,EB 2.0,SM 4.0,KM20,KM 30,AMK 30,CPM 40,LVFX 2.0,MFLX 0.5,TH 40,CS 30,PAS 1.0,Comments
1,15-B24-1,JPN-R2012-0001,10days,7H9,>32,>32,8,4,>64,16,2,4,>32,>32,8,32,>64,64,2,1/32,8,,15-B24-1,6,L-J,R,R,R,R,R,R,R,S,R,R,R,R,R,R,
2,15-B24-2,JPN-R2012-0002,10days,7H9,8,>32,>8,32,>64,4,2,4,8,4,1,2,>64,16,1,1/32,8,,15-B24-2,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,S,
3,15-B24-3,JPN-R2012-0003,10days,7H9,16,>32,4,4,>64,2,1,4,4,2,0.5,2,>64,16,1,0.25/32,8,,15-B24-3,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,R,
4,15-B24-4,JPN-R2012-0004,10days,7H9,>32,>32,8,2,8,2,1,4,16,8,2,2,>64,32,1,1/32,8,,15-B24-4,6,L-J,R,R,R,S,R,S,S,S,S,R,R,S,S,R,
5,15-MRK-1,JPN-R2012-0005,10days,7H9,>32,>32,8,4,4,2,2,4,1,0.5,0.12,4,>64,32,1,1/32,8,,15-MRK-1,6,L-J,R,R,R,R,R,S,S,S,S,S,S,R,S,S,
6,15-MRK-3,JPN-R2012-0006,10days,7H9,8,>32,>8,4,32,2,1,2,2,1,0.25,>32,>64,16,0.5,0.06/32,4,,15-MRK-3,6,L-J,R,R,R,R,R,S,S,S,S,S,S,R,S,S,
7,15-MRK-4,JPN-R2012-0007,10days,7H9,8,>32,4,4,>64,1,1,4,0.5,0.25,0.12,0.5,>64,16,1,0.5/32,8,,15-MRK-4,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
8,15-MRK-5,JPN-R2012-0008,10days,7H9,16,>32,8,1,1,4,2,4,0.5,0.25,0.06,1,>64,16,0.5,2/32,8,,15-MRK-5,6,L-J,R,R,R,S,S,S,S,S,S,S,S,S,S,S,
9,15-MRK-6-1,JPN-R2012-0009,10days,7H9,4,>32,8,8,>64,2,2,4,16,8,2,8,>64,64,1,2/32,8,,15-MRK-6-1,6,L-J,R,S,R,R,R,S,S,S,S,R,R,R,R,S,
10,15-MRK-7,JPN-R2012-0010,10days,7H9,>32,32,0.5,2,>64,8,2,4,16,8,2,8,>64,128,4,1/32,4,,15-MRK-7,6,L-J,R,R,R,S,R,R,R,S,R,R,R,R,R,R,
11,15-MRK-8,JPN-R2012-0011,10days,7H9,8,>32,2,8,>64,16,2,32,0.5,0.25,0.12,4,>64,16,1,0.5/32,32,,15-MRK-8,6,L-J,R,S,R,R,R,R,R,S,R,S,S,R,S,R,
12,15-MRK-9,JPN-R2012-0012,10days,7H9,8,>32,8,32,>64,2,2,4,4,2,0.25,2,>64,32,1,2/32,8,,15-MRK-9,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,S,
13,15-MRK-10,JPN-R2012-0013,10days,7H9,8,>32,2,4,1,4,1,2,1,0.5,0.12,4,>64,16,0.5,0.25/32,4,,15-MRK-10,6,L-J,R,R,R,S,S,S,S,S,S,S,S,S,S,S,
14,15-MRK-11,JPN-R2012-0014,10days,7H9,8,>32,8,2,>64,2,1,4,1,0.5,0.12,1,>64,16,1,1/32,8,,15-MRK-11,6,L-J,R,R,R,S,R,S,S,S,S,S,S,S,S,S,
15,15-MRK-12,JPN-R2012-0015,10days,7H9,8,>32,4,4,>64,4,2,4,0.5,0.25,0.12,1,>64,16,1,0.5/32,8,,15-MRK-12,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
16,15-MRK-13-1,JPN-R2012-0016,10days,7H9,8,16,0.25,16,>64,>64,>64,>32,4,2,0.5,2,>32,32,1,1/32,16,,15-MRK-13-1,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
17,15-C14-2,JPN-R2012-0017,10days,7H9,8,>32,>8,1,>64,2,2,4,1,0.5,0.12,1,>64,16,1,0.25/32,8,,15-C14-2,6,L-J,R,R,R,S,R,S,S,S,S,S,S,S,S,S,
18,15-D13-3,JPN-R2012-0018,10days,7H9,16,>32,4,8,>64,2,1,4,0.5,0.25,0.06,2,>64,32,1,1/32,8,,15-D13-3,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
