ID,Genome ID,,INH,RIF,RBT,EMB,STR,KM,AMK,CPM,OFLX,LVFX,MFLX,ETH,PAS,CS,LZD,MEPM/CVA
D-002,MNG-S2014-0001,,1,>64,4,4,>128,1,0.25,1,0.25,0.12,0.06,4,0.12,4,0.25,2/64
D-017,MNG-S2014-0002,,1,>64,>16,8,>128,1,0.25,1,0.25,0.12,0.12,64,0.25,8,0.25,4/64
D-023,MNG-S2014-0003,,0.12,2,4,4,>128,1,0.25,0.5,0.12,0.06,0.03,1,0,1,0.12,0.5/64
D-025,MNG-S2014-0004,,8,>64,2,8,>128,1,0.25,0.5,0.12,0.12,0.03,0.25,0,4,0.12,2/64
D-026,MNG-S2014-0005,,2,>64,4,>64,>128,≤0.12,≤0.12,8,4,4,2,32,2,16,0.25,8/64
D-058,MNG-S2014-0006,,2,>64,2,4,>128,1,0.25,1,0.25,0.12,0.06,16,4,4,0.12,32/64
D-080,MNG-S2014-0007,,4,>64,4,0.5,>128,1,0.12,0.5,0.25,0.25,0.06,0.25,0.12,4,0.25,4/64
D-083,MNG-S2014-0008,,0.5,>64,4,16,>128,2,1,2,0.25,0.12,0.06,4,8,4,0.5,4/64
D-111,MNG-S2014-0009,,4,>64,1,8,>128,1,0.25,0.5,0.25,0.12,0.06,0.25,0.12,8,0.25,16/64
D-158,MNG-S2014-0010,,4,>64,8,8,>128,≤0.12,≤0.12,4,0.25,0.12,0.06,16,0.25,8,0.25,8/64
D-160,MNG-S2014-0011,,2,>64,>16,4,>128,1,0.25,1,0.25,0.25,0.06,8,0,2,0.25,4/64
D-163,MNG-S2014-0012,,2,>64,16,4,>128,1,0.25,0.5,0.12,0.12,0.06,4,0.12,8,0.25,4/64
D-195,MNG-S2014-0013,,0.25,4,8,2,32,2,0.5,1,0.25,0.12,0.06,4,0.5,4,0.12,2/64
D-251,MNG-S2014-0014,,>64,>64,2,16,>128,1,0.25,1,2,1,1,0.12,1,8,0.25,4/64
D-272,MNG-S2014-0015,,8,>64,2,32,>128,1,0.25,1,0.25,0.12,0.06,0.12,0,8,0.25,8/64
D-340,MNG-S2014-0017,,0.25,>64,8,2,0,0.5,0.12,0.5,0.12,0.06,0.03,1,0,1,0.12,1/64
D-771,MNG-S2014-0036,,2,>64,2,4,>128,1,0.25,1,0.25,0.12,0.06,16,2,4,0.5,16/64
D-773,MNG-S2014-0037,,4,>64,2,2,>128,1,0.25,1,0.25,0.12,0.06,8,4,4,0.25,32/64
D-851,MNG-S2014-0038,,4,>64,2,8,>128,1,0.25,1,0.25,0.12,0.06,0.25,0.12,8,0.25,8/64
D-858,MNG-S2014-0039,,0.5,4,2,1,2,1,0.12,0.5,0.12,0.12,0.03,8,8,4,0.12,4/64
D-879,MNG-S2014-0040,,2,>64,8,8,>128,≤0.12,≤0.12,4,2,1,0.5,>64,16,4,0.25,4/64
D-890,MNG-S2014-0041,,8,>64,2,4,>128,1,0.25,1,0.25,0.12,0.06,0.12,4,8,0.5,4/64
D-909,MNG-S2014-0042,,8,>64,2,4,>128,0.5,0.12,0.5,0.25,0.12,0.06,0.25,0.12,8,0.25,4/64
D-915,MNG-S2014-0043,,0.25,2,1,0.5,1,0.5,0,0.25,0.12,0.06,0,16,1,4,0.12,1/64
D-923,MNG-S2014-0044,,0.25,2,2,2,>128,0.5,0.25,0.5,0.25,0.12,0.06,2,0.12,4,0.25,2/64
D-932,MNG-S2014-0045,,1,>64,16,8,>128,1,0.25,1,0.25,0.12,0.12,16,0.25,8,0.25,2/64
D-949,MNG-S2014-0046,,0.25,2,8,1,2,4,0.25,1,0.25,0.25,0.06,8,16,8,0.5,0.12/64
D-953,MNG-S2014-0047,,4,>64,2,4,>128,1,0.25,1,0.25,0.12,0.06,8,2,8,0.25,4/64
D-962,MNG-S2014-0048,,8,>64,2,1,16,1,0.25,1,1,1,0.25,2,0,8,0.12,8/64
D-1009,MNG-S2014-0049,,8,>64,2,4,>128,0.5,0.12,0.5,0.12,0.12,0.06,0.25,0.25,8,0.12,2/64
D-1016,MNG-S2014-0050,,0.12,16,4,1,>128,1,0.25,1,0.25,0.12,0.06,1,0.12,8,0.25,2/64
D-1018,MNG-S2014-0051,,0.5,>64,4,16,>128,2,0.5,1,0.25,0.12,0.06,4,0.5,8,0.5,16/64
1600115,MNG-S2014-0154,,2,>64,8,8,>128,≤0.12,≤0.12,8,0.25,0.12,0.06,32,0.5,8,0.25,8/64
1600543,MNG-S2014-0158,,8,>64,2,4,>128,1,0.25,1,0.12,0.12,0.06,0.25,0,8,0.25,2/64
1600228,MNG-S2014-0160,,32,>64,2,1,0.5,4,1,4,4,2,0.5,0.12,0.12,2,0.5,8/64
1608133,MNG-S2014-0191,,4,>64,2,16,>128,2,0.5,1,8,4,4,2,16,8,8,2/64
D-227,MNG-S2014-0193,,>64,>64,2,>64,>128,1,0.25,0.5,0.12,0.06,0.03,>64,>128,8,0.25,4/64
D-241,MNG-S2014-0194,,2,>64,>16,16,>128,1,0.5,2,0.5,0.25,0.12,>64,8,16,1,4/64
D-1081,MNG-S2014-0195,,8,>64,2,8,>128,0.5,0.25,0.5,0.12,0.12,0.06,0.5,0.12,8,0.25,2/64
D-787,MNG-S2014-0199,,4,2,0.06,4,>128,1,0.25,0.5,0.25,0.12,0.06,0.25,0.12,4,0.12,1/64
D-817,MNG-S2014-0200,,1,>64,>16,8,>128,1,0.25,0.5,0.25,0.25,0.12,16,2,16,0.5,4/64
,,,,,,,,,,,,,,,,,,
