TN#,RFLP,"PGG,Cluster ","Country of 
Origin (State)","Gagneux, 
S Lineages","BDQ
(0.0025-0.32)"
565,W,PGG1 – II,USA (NYC),Lineage 2,0.08
1595,N2,PGG1 - II,USA (NYC),Lineage 2,0.08
1868,AU,PGG2 - III,USA,Lineage 4,0.08
5170,AH_CDC1551,PGG2 - V,US,Lineage 4,0.02
5904,P,PGG2 - VI,USA (NYC),Lineage 4,0.04
7506,W33,PGG1 – II,USA,Lineage 2,0.02
7791,001,PGG3 - VII,Russia,Lineage 4,0.04
8077,H,PGG2 - III,USA (NYC),Lineage 4,0.08
8094,W175,PGG1 – II,Russia,Lineage 2,0.16
8109,LB,PGG1 - II,NYC,Lineage 2,0.04
8133,E,PGG2 - III,NYC,Lineage 4,0.04
8265,BJ24,PGG3 - VII,Russia,Lineage 4,0.08
8562,M33,PGG3 - VII,Rusia,Lineage 4,0.04
8600,KY,PGG1 – II,Russia,Lineage 2,>0.32
8623,AU,PGG2 - III,NYC,Lineage 4,0.08
8964,U,PGG3 - VII,NYC,Lineage 4,0.08
9139,AF,PGG3 - VIII,USA (NJ),Lineage 4,0.04
10130,BE4,PGG1 – I,USA (NJ),Lineage 1,0.04
10225,BE,PGG2 – IV,USA (NJ),Lineage 4,0.08
10367,C,PGG2 – IV,USA (NYC),Lineage 4,0.02
10460,H,PGG2 – IV,USA (NJ),Lineage 4,0.02
10525,LL,PGG2 - IIA,Russia,Lineage 3,0.08
10571,KY,PGG1 - II,Russia,Lineage 2,0.16
11206,KY,PGG1 - II,Russia,Lineage 2,0.16
11230,W148,PGG1 - II,Russia,Lineage 2,0.16
11265,LB,PGG1 - II,Russia,Lineage 2,0.04
11677,BE,PGG1 – I,USA (NJ),Lineage 1,0.08
11864,W219,PGG1 - II,Russia,Lineage 2,0.02
12556,AI36,PGG2 - VI,Russia,Lineage 4,0.16
12557,W221,PGG1 - II,Russia,Lineage 2,0.04
12657,KQ15,PGG2 - IIA,Russia,Lineage 3,0.08
12850,AH,PGG2 - V,NYC,Lineage 4,0.08
13151,P,PGG2 - VI,USA (NYC),Lineage 4,0.04
13542,MY8,PGG1 - IIA,India,Lineage 3,0.08
13923,HD17,PGG1 – II,Korea,Lineage 2,0.16
14517,IL5,PGG2 - VI,Bangladesh,Lineage 4,0.08
15140,MC,PGG1 – I,South Africa,Lineage 1,0.04
15493,CC13,PGG2 - VI,South Africa,Lineage 4,0.16
15536,W615,PGG1 - II,South Africa,Lineage 2,0.04
15552,AH13,PGG2 – V,South Africa,Lineage 4,0.16
15573,H,PGG2 - IV,South Africa,Lineage 4,0.32
15601,M51,PGG3 - VII,South Africa,Lineage 4,0.16
15617,AH30,PGG2 - V,South Africa,Lineage 4,>0.32
15845,KO1,PGG3 - VII,South Africa,Lineage 4,0.04
15907,LH11,PGG2 - III,South Africa,Lineage 4,>0.32
16116,CN1,PGG1 - IIA,USA (NJ),Lineage 3,0.02
18191,W1,PGG1 - II,USA,Lineage 2,0.32
18327,W33,PGG1 - II,USA (NYC),Lineage 2,0.04
18349,W738,PGG1 - II,NYC,Lineage 2,0.16
18429,C9,PGG2 - IV,USA,Lineage 4,0.16
18460,BE,PGG1 - I,NYC,Lineage 4,0.02
18985,HD15,PGG1 - II,NYC,Lineage 2,0.32
19764,AF50,PGG3 - VIII,USA (NYC),Lineage 4,0.08
19967,DK49,PGG2 - III,Dominican Rep,Lineage 4,0.04
19999,DB12,PGG2 - VI,Bolivia,Lineage 4,0.02
20333,GD236,PGG1-IIA,India,Lineage 3,0.04
20577,GN9,PGG2 - III,China,Lineage 4,0.04
20626,BW90,PGG2 - III,USA (NYC),Lineage 4,0.08
21321,GD265,PGG1-IIA,India,Lineage 3,>0.32
21479,L,PGG2 - V,Trinidad and Tob,Lineage 4,0.04
21569,FE3,PGG3 - VII,South Korea,Lineage 4,0.04
22485,P,PGG2 - VI,USA (NYC),Lineage 4,0.04
24614,KO,PGG2 - VI,South Africa,Lineage 4,0.08
24891,AH,PGG2 – V,South Africa,Lineage 4,0.02
25186,AF120,PGG3 - VIII,South Africa,Lineage 4,0.08
25766,H,PGG2 – IV,South Africa,Lineage 4,0.04
26550,AI230,PGG2 - VI,South Africa,Lineage 4,0.04
26829,HP81,PGG2 - VI,South Africa,Lineage 4,0.08
26830,HP81,PGG2 - VI,South Africa,Lineage 4,0.04
26985,AH,PGG2 – V,South Africa,Lineage 4,0.04
27609,BM2,PGG2 - VI,South Africa,Lineage 4,0.08
27771,FO15,PGG2 - VI,South Africa,Lineage 4,0.04
27778,W1343,PGG1 – II,South Africa,Lineage 2,0.04
27786,W799,PGG1 – II,South Africa,Lineage 2,0.04
27794,CC27,PGG2 - VI,South Africa,Lineage 4,0.08
27801,CC36,PGG2 - VI,South Africa,Lineage 4,0.16
27819,HP80,PGG2 - VI,South Africa,Lineage 4,0.04
28843,BM65,PGG2 - VI,South Africa,Lineage 4,0.04
29608,BM2,PGG2 - VI,South Africa,Lineage 4,0.16
30147,GD563,PGG1 - IIA,Pakistan,Lineage 3,0.08
30992,HP81,PGG2 - VI,South Africa,Lineage 4,0.08
31008,MH,PGG1 - II,South Africa,Lineage 2,0.16
31020,W151,PGG1 - II,South Africa,Lineage 2,0.08
31546,HR247,PGG1 - I,Philippines,Lineage 1,0.04
31738,HP81,PGG2 - VI,South Africa,Lineage 4,0.02
32283,HP154,PGG2 - VI,South Africa,Lineage 4,0.08
32291,BW717,PGG2 - III,South Africa,Lineage 4,0.04
32834,HP81,PGG2 - VI,South Africa,Lineage 4,0.02
32870,BH26,PGG2 - VI,South Africa,Lineage 4,0.04
33059,GD486,PGG2 - IIA,South Africa,Lineage 3,0.04
33547,GY43,PGG3 - VII,Mexico,Lineage 4,0.08
33551,OR6,PGG2 - III,Haiti,Lineage 4,0.04
33568,HD49,PGG1 - II,China,Lineage 2,0.08
34680,CE6,PGG2 - III,USA (NYC),Lineage 4,0.08
34683,DN,PGG1 - II,China,Lineage 2,0.04
34694,AB5,PGG2 - VI,USA (NYC),Lineage 4,0.08
