Track #,FingerPrint,INH,RIF
5410,001,0.06,0.06
8048,001,0.12,0.12
10111,001,0.06,0.06
5246,001,0.12,0.12
5248,001,0.12,0.03
32702,AH5,0.06,0.06
36065,AX8,0.12,0.12
24412,BA122,0.06,0.06
26049,BA7,0.12,0.12
30984,BE,0.25,0.25
35033,BE4,0.25,0.125
10106,BW63,0.12,0.25
31410,BW724,0.12,0.06
27847,C,0.25,0.25
36135,CH59,0.06,0.06
28285,DK6,0.12,0.12
28626,GD547,0.06,0.06
35825,GD856,0.12,0.06
36259,GD906,0.12,0.06
34089,GI1,0.12,0.06
36255,HD,0.12,0.06
33207,HP168,0.25,0.06
33210,HP169,0.12,0.12
31184,HR13,0.12,0.06
6473,HR13,0.12,0.03
26274,HR256,0.06,0.06
28627,HR307,0.06,0.06
8689,KQ51,0.12,0.25
34362,KQ51,0.12,0.06
5854,LH,0.12,0.25
35758,M145,0.12,0.12
15781,M148,0.25,0.25
30758,M148,0.25,0.25
32532,MX22,0.12,0.12
29934,MX22,0.06,0.12
30085,Q5,0.12,0.06
33590,Q5,0.12,0.06
25904,U2,0.06,0.06
33133,W1647,0.12,0.06
