BioSample,Sample,Run,TDR_Sample,TDR_Sample_Num,Platform,Model,TaxID,ScientificName,ReleaseDate,LoadDate,CenterName,ISOLATION_LOCATION
SAMEA5282322,ERS3089590,ERR3132072,TDR_1,1,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:30:51,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282433,ERS3089701,ERR3132183,TDR_2,2,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:44,2019-05-31 13:46:54,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282476,ERS3089744,ERR3132226,TDR_3,3,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:45,2019-05-31 13:53:07,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282487,ERS3089755,ERR3132237,TDR_4,4,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:45,2019-05-31 13:54:35,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282498,ERS3089766,ERR3132248,TDR_5,5,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:45,2019-05-31 13:56:11,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282509,ERS3089777,ERR3132259,TDR_6,6,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:45,2019-05-31 13:57:59,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282520,ERS3089788,ERR3132270,TDR_7,7,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:45,2019-05-31 13:59:47,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282531,ERS3089799,ERR3132281,TDR_8,8,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:46,2019-05-31 14:01:10,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282542,ERS3089810,ERR3132292,TDR_9,9,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:46,2019-05-31 14:02:58,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282323,ERS3089591,ERR3132073,TDR_10,10,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:30:50,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282334,ERS3089602,ERR3132084,TDR_11,11,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:32:49,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282345,ERS3089613,ERR3132095,TDR_12,12,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:34:33,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282356,ERS3089624,ERR3132106,TDR_13,13,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:36:03,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282367,ERS3089635,ERR3132117,TDR_14,14,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:43,2019-05-31 13:38:00,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282378,ERS3089646,ERR3132128,TDR_15,15,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:44,2019-05-31 13:39:28,INSTITUTE OF TROPICAL MEDICINE,Bangladesh
SAMEA5282389,ERS3089657,ERR3132139,TDR_16,16,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:44,2019-05-31 13:40:41,INSTITUTE OF TROPICAL MEDICINE,RD Congo
SAMEA5282400,ERS3089668,ERR3132150,TDR_17,17,ILLUMINA,Illumina HiSeq 2500,1773.0,Mycobacterium tuberculosis,2019-05-31 11:07:44,2019-05-31 13:42:01,INSTITUTE OF TROPICAL MEDICINE,RD Congo
