Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by.1,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR29273602,WGS,293,432220675,PRJNA1119915,SAMN41664548,Pathogen.cl,211021749,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791330,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17473,Illumina HiSeq 2000,missing,missing,EUST17473,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17473,SRP511583,not applicable
SRR29273603,WGS,289,450262902,PRJNA1119915,SAMN41664547,Pathogen.cl,219600985,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791329,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17462,Illumina HiSeq 2000,missing,missing,EUST17462,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17462,SRP511583,not applicable
SRR29273604,WGS,282,393766599,PRJNA1119915,SAMN41664546,Pathogen.cl,191167247,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791328,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17450,Illumina HiSeq 2000,missing,missing,EUST17450,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17450,SRP511583,not applicable
SRR29273605,WGS,289,407122452,PRJNA1119915,SAMN41664545,Pathogen.cl,199096762,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791327,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17447,Illumina HiSeq 2000,missing,missing,EUST17447,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17447,SRP511583,not applicable
SRR29273606,WGS,295,373514508,PRJNA1119915,SAMN41664544,Pathogen.cl,182425899,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791326,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17433,Illumina HiSeq 2000,missing,missing,EUST17433,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17433,SRP511583,not applicable
SRR29273607,WGS,291,511182926,PRJNA1119915,SAMN41664543,Pathogen.cl,248014270,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791325,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17428,Illumina HiSeq 2000,missing,missing,EUST17428,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17428,SRP511583,not applicable
SRR29273608,WGS,293,415884339,PRJNA1119915,SAMN41664542,Pathogen.cl,202676709,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791324,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17412,Illumina HiSeq 2000,missing,missing,EUST17412,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17412,SRP511583,not applicable
SRR29273609,WGS,291,439203450,PRJNA1119915,SAMN41664541,Pathogen.cl,213093932,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791323,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST17405,Illumina HiSeq 2000,missing,missing,EUST17405,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST17405,SRP511583,not applicable
SRR29273610,WGS,298,739029366,PRJNA1119915,SAMN41664482,Pathogen.cl,322800788,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2017-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791322,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST16802,Illumina HiSeq 2000,missing,missing,EUST16802,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST16802,SRP511583,not applicable
SRR29273611,WGS,289,1022963627,PRJNA1119915,SAMN41664481,Pathogen.cl,442499753,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2017-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791321,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST16797,Illumina HiSeq 2000,missing,missing,EUST16797,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:40:00Z,1,EUST16797,SRP511583,not applicable
