Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR29341458,WGS,261,542536567,PRJNA1122079,SAMN41772211,Pathogen.cl,226001524,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857432,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT2397,Illumina HiSeq 2000,missing,missing,IT2397,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2397,SRP512858,not applicable
SRR29341459,WGS,265,277298742,PRJNA1122079,SAMN41772157,Pathogen.cl,112692658,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857431,Bangladesh,Asia,Bangladesh,tuberculosis,Homo sapiens,IT2741,Illumina HiSeq 2000,missing,missing,IT2741,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2741,SRP512858,not applicable
SRR29341460,WGS,280,639906593,PRJNA1122079,SAMN41772210,Pathogen.cl,274947159,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857430,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1775,Illumina HiSeq 2000,missing,missing,IT1775,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:23:00Z,1,IT1775,SRP512858,not applicable
SRR29341461,WGS,271,321805386,PRJNA1122079,SAMN41772209,Pathogen.cl,124263108,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857429,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1743,Illumina HiSeq 2000,missing,missing,IT1743,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT1743,SRP512858,not applicable
SRR29341462,WGS,282,332099950,PRJNA1122079,SAMN41772208,Pathogen.cl,143111896,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857428,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1776,Illumina HiSeq 2000,missing,missing,IT1776,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT1776,SRP512858,not applicable
SRR29341463,WGS,281,293990315,PRJNA1122079,SAMN41772207,Pathogen.cl,137131928,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857427,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1998,Illumina HiSeq 2000,missing,missing,IT1998,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT1998,SRP512858,not applicable
SRR29341464,WGS,279,337685763,PRJNA1122079,SAMN41772206,Pathogen.cl,156253833,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857426,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1997,Illumina HiSeq 2000,missing,missing,IT1997,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT1997,SRP512858,not applicable
SRR29341465,WGS,282,672531077,PRJNA1122079,SAMN41772205,Pathogen.cl,299492000,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857425,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1803,Illumina HiSeq 2000,missing,missing,IT1803,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:13:00Z,1,IT1803,SRP512858,not applicable
SRR29341466,WGS,280,307728369,PRJNA1122079,SAMN41772204,Pathogen.cl,142844893,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857424,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT1866,Illumina HiSeq 2000,missing,missing,IT1866,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:23:00Z,1,IT1866,SRP512858,not applicable
SRR29341467,WGS,287,441575061,PRJNA1122079,SAMN41772203,Pathogen.cl,191459695,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857423,Italy,Europe,Italy,tuberculosis,Homo sapiens,IT2015,Illumina HiSeq 2000,missing,missing,IT2015,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2015,SRP512858,not applicable
