sample_id,phenotypic_category,phenotype
6993,ALL,0
8598,ALL,0
9490,WHO,0
14103,WHO,0
15779,WHO,0
16045,WHO,0
16735,WHO,0
17171,WHO,0
17853,WHO,1
18194,WHO,0
18712,WHO,0
19263,WHO,0
19633,WHO,0
19969,WHO,1
45421,WHO,1
45428,WHO,0
45474,WHO,0
45606,WHO,1
50061,WHO,1
52707,WHO,0
52721,WHO,0
53669,WHO,1
53684,WHO,0
53929,WHO,1
54922,WHO,0
54960,WHO,0
55042,WHO,0
55073,WHO,0
55171,WHO,0
55239,WHO,0
55282,WHO,0
55485,WHO,0
55781,WHO,0
55786,WHO,0
55847,WHO,0
55963,WHO,0
56045,WHO,0
56673,WHO,0
56728,WHO,0
57376,WHO,0
57436,WHO,0
57692,WHO,0
57784,WHO,1
61756,WHO,0
62098,WHO,0
64622,WHO,0
64718,WHO,0
64780,WHO,0
65009,WHO,0
65078,WHO,0
65117,WHO,0
65173,WHO,0
65441,WHO,0
65647,WHO,0
65782,WHO,0
76236,WHO,1
77931,WHO,0
78327,WHO,0
88113,WHO,1
97104,WHO,0
97423,WHO,0
97877,WHO,0
107574,WHO,1
107604,WHO,1
126403,WHO,0
135012,WHO,0
135272,WHO,0
135607,WHO,0
136291,WHO,0
136302,WHO,0
136497,WHO,0
136578,WHO,0
136626,WHO,0
136724,WHO,0
137201,WHO,1
137291,WHO,0
137518,WHO,0
137654,WHO,1
138718,WHO,1
139716,WHO,0
139866,WHO,0
139877,WHO,0
140344,WHO,1
140503,WHO,0
147613,ALL,1
147723,ALL,0
147772,ALL,0
147873,ALL,0
147911,ALL,0
148020,ALL,0
148084,ALL,0
148351,ALL,0
148490,ALL,1
150566,WHO,0
151691,WHO,0
151863,WHO,0
155010,ALL,1
155520,WHO,1
164466,WHO,0
165140,WHO,1
165404,WHO,1
165500,WHO,1
166332,WHO,0
167489,WHO,0
167761,WHO,0
167771,WHO,1
169121,WHO,0
169505,WHO,0
169603,WHO,0
169682,WHO,0
169696,WHO,0
169705,WHO,1
169788,WHO,0
170072,WHO,0
170116,WHO,0
171593,WHO,0
171873,WHO,0
171931,WHO,0
173260,WHO,0
173389,WHO,0
173473,WHO,0
174825,ALL,0
179010,WHO,1
179542,WHO,0
179664,WHO,0
179773,WHO,0
179934,WHO,0
181200,WHO,0
181382,WHO,0
181455,WHO,0
181559,WHO,0
181596,WHO,0
374676,ALL,0
699931,WHO,0
699998,WHO,0
700003,WHO,0
705492,WHO,1
705575,WHO,1
729398,WHO,0
739124,WHO,1
739242,WHO,1
810006,WHO,0
810101,WHO,0
810122,WHO,0
810354,WHO,0
810403,WHO,0
812530,WHO,1
812640,WHO,0
812643,WHO,1
812683,WHO,1
820901,WHO,1
888292,WHO,0
900,WHO,0
13528,WHO,0
14356,WHO,0
14607,WHO,0
15974,WHO,0
16497,WHO,0
16921,WHO,0
17279,WHO,0
19605,WHO,0
19792,WHO,0
19826,WHO,0
45554,WHO,0
45609,WHO,1
50032,WHO,1
50381,WHO,1
52458,WHO,0
52634,WHO,0
52660,WHO,0
52755,WHO,0
53310,WHO,1
53791,WHO,0
54276,WHO,1
54399,WHO,0
54636,WHO,0
54996,WHO,0
55245,WHO,0
55289,WHO,0
55552,WHO,0
55645,WHO,0
55854,WHO,0
56245,WHO,0
56337,WHO,0
56472,WHO,0
56606,WHO,0
56712,WHO,0
57122,WHO,0
57329,WHO,0
57491,WHO,0
57527,WHO,0
57563,WHO,0
57780,WHO,1
64715,WHO,1
64922,WHO,0
65018,WHO,0
65112,WHO,0
65174,WHO,0
65353,WHO,0
65412,WHO,0
65422,WHO,0
65494,WHO,0
76139,WHO,0
76159,WHO,0
77901,WHO,0
78113,WHO,0
78126,WHO,0
78187,WHO,0
78208,WHO,0
88115,WHO,1
98044,WHO,0
98147,WHO,0
101780,WHO,1
117728,WHO,0
135396,WHO,0
136218,WHO,0
136535,WHO,0
136730,WHO,0
136754,WHO,0
137445,WHO,0
137480,WHO,0
137744,WHO,0
137830,WHO,0
137990,WHO,1
138158,WHO,0
139511,WHO,0
139553,WHO,0
139800,WHO,0
139839,WHO,0
140573,WHO,0
140716,WHO,0
140760,WHO,0
140772,WHO,0
141239,WHO,1
141400,WHO,0
146863,WHO,1
147213,ALL,1
147572,ALL,1
148380,ALL,1
148397,ALL,1
150678,WHO,0
151346,WHO,0
155638,WHO,1
155662,WHO,0
166085,WHO,0
166309,WHO,1
167777,WHO,1
168411,WHO,0
168747,WHO,0
169993,WHO,0
171344,WHO,0
171572,WHO,0
171578,WHO,1
171876,WHO,0
178061,WHO,0
178112,WHO,1
178354,WHO,1
178436,WHO,1
178568,WHO,0
178594,WHO,1
178612,WHO,0
179519,WHO,0
179563,WHO,0
179769,WHO,0
179904,WHO,0
180410,WHO,1
181244,WHO,0
181278,WHO,0
181626,WHO,0
707407,WHO,0
729483,WHO,0
729484,WHO,0
739196,WHO,0
808396,WHO,1
808722,WHO,0
810356,WHO,0
812521,WHO,0
812534,WHO,0
843034,WHO,0
888340,WHO,1
892537,WHO,0
6955,ALL,0
8583,ALL,1
9468,WHO,1
12221,WHO,0
13304,WHO,0
15917,WHO,0
16120,WHO,0
17656,WHO,0
34733,WHO,0
34763,WHO,1
36878,WHO,0
45427,WHO,1
45541,WHO,0
45562,WHO,0
50374,WHO,0
52350,WHO,0
52647,WHO,0
52794,WHO,0
53503,WHO,1
53715,WHO,0
53999,WHO,0
54133,WHO,0
54634,WHO,0
54674,WHO,0
54988,WHO,0
55020,WHO,0
55062,WHO,0
55116,WHO,0
55281,WHO,0
55359,WHO,0
55683,WHO,0
56087,WHO,0
56219,WHO,0
56480,WHO,0
57278,WHO,0
57391,WHO,0
57426,WHO,0
57654,WHO,0
57672,WHO,0
64616,WHO,0
64673,WHO,0
64700,WHO,0
64707,WHO,0
64850,WHO,0
64983,WHO,0
65023,WHO,0
65191,WHO,0
65308,WHO,0
65379,WHO,0
65516,WHO,1
65536,WHO,0
65587,WHO,0
65623,WHO,0
78119,WHO,0
96660,WHO,0
96806,WHO,0
96875,WHO,0
117576,WHO,0
119645,WHO,1
122171,ALL,1
124846,WHO,0
128664,WHO,1
135657,WHO,0
136385,WHO,0
136722,WHO,0
136917,WHO,0
136924,WHO,0
136925,WHO,0
137022,WHO,0
137280,WHO,0
137343,WHO,1
138042,WHO,0
139719,WHO,0
139856,WHO,0
140572,WHO,0
140799,WHO,0
141382,WHO,0
147230,ALL,0
147597,ALL,1
148218,ALL,0
150205,WHO,0
150504,WHO,0
150529,WHO,0
150568,WHO,1
150579,WHO,0
150855,WHO,0
151313,WHO,0
151371,WHO,0
151806,WHO,0
155682,WHO,1
164996,WHO,0
165406,WHO,0
165437,WHO,1
167946,WHO,0
168436,WHO,0
168566,WHO,0
168715,WHO,0
168928,WHO,0
169634,WHO,0
169665,WHO,0
169748,WHO,0
170203,WHO,0
171382,WHO,0
171476,WHO,0
171533,WHO,0
171665,WHO,0
177604,WHO,1
177975,WHO,0
178948,WHO,0
178982,WHO,0
179753,WHO,0
180369,WHO,1
181303,WHO,0
182105,WHO,0
705474,WHO,0
705554,WHO,0
705562,WHO,0
705576,WHO,0
713452,WHO,1
713459,WHO,0
725681,WHO,1
729304,WHO,0
729390,WHO,0
808752,WHO,1
810117,WHO,0
810481,WHO,0
812617,WHO,1
812654,WHO,0
828772,WHO,0
906,WHO,0
8570,ALL,1
9515,WHO,0
12174,WHO,0
12504,WHO,0
12666,WHO,1
