SampleID,unclassified_percent,MTBC_percent,NTM_percent,Human_percent,Most_Common_Genus,Most_Common_Genus_percent,Second_Most_Common_Genus,Second_Most_Common_Genus_percent
MFS-179,7.33,0.05,90.22,0.44,Mycolicibacterium,87.19,Mycobacterium,3.3
MFS-183,6.41,9.93,80.02,0.66,Mycobacterium,89.63,Mycolicibacterium,1.14
MFS-304,1.68,9.72,37.57000000000001,0.37,Staphylococcus,50.24,Mycobacterium,47.34
MFS-422,1.13,2.59,94.74,0.31,Mycobacterium,97.35,Homo,0.31
MFS-423,2.11,11.94,48.120000000000005,0.21,Mycobacterium,60.1,Propionibacterium,36.59
MFS-425,1.29,0.71,96.32,0.31,Mycobacterium,97.03,Homo,0.31
MFS-451,11.37,0.6,82.68,0.32,Mycobacterium,82.71,Mycolicibacterium,2.14
MFS-453,28.39,0.39,2.71,0.36,Rhodococcus,56.2,Paenibacillus,2.87
MFS-477,52.08,0.2,6.4399999999999995,0.3,Gordonia,19.54,Mycolicibacterium,3.63
MFS-490,17.32,0.06,0.36,9.54,Streptococcus,43.17,Homo,9.54
MFS-491,18.5,0.07,0.44,8.33,Streptococcus,40.39,Homo,8.33
MFS-492,19.6,2.18,9.61,4.07,Streptococcus,34.7,Mycobacterium,11.78
MFS-493,0.05,0.0,0.0,99.93,Homo,99.93,Haemophilus,0.0
MFS-494,6.73,0.0,0.01,20.1,Streptococcus,69.29,Homo,20.1
MFS-495,8.21,0.0,0.01,8.38,Streptococcus,72.68,Homo,8.38
MFS-496,10.84,0.02,0.14,58.52,Homo,58.52,Streptococcus,12.9
MFS-497,10.34,0.42,2.15,53.12,Homo,53.12,Streptococcus,19.62
MFS-498,15.01,0.02,0.13,51.06,Homo,51.06,Streptococcus,16.66
MFS-499,2.42,0.46,2.97,26.11,Pseudomonas,59.39,Homo,26.11
MFS-500,16.25,0.9,5.51,2.72,Streptococcus,51.07,Rothia,7.92
MFS-501,0.08,0.0,0.01,99.86,Homo,99.86,Mycobacterium,0.01
MFS-502,10.34,0.07,0.35,0.39,Streptococcus,81.31,Rothia,2.01
MFS-503,9.47,0.02,0.08,0.38,Streptococcus,83.59,Rothia,2.8
MFS-504,32.15,2.9,15.47,9.91,Streptococcus,22.08,Mycobacterium,18.3
MFS-505,13.97,4.7,24.89,4.12,Streptococcus,32.55,Mycobacterium,29.61
MFS-506,22.4,1.74,8.92,5.94,Streptococcus,43.78,Mycobacterium,10.65
MFS-507,1.89,8.11,48.84,35.22,Mycobacterium,56.99,Homo,35.22
MFS-508,19.43,0.66,2.87,2.26,Streptococcus,47.57,Gemella,7.52
MFS-78,6.71,5.63,85.68,0.28,Mycobacterium,91.09,Mycolicibacterium,0.64
