imp,AIC_no_INH_MIC,AIC_measured_INH_MIC,AIC_measured_INH_binary,AIC_predicted_INH_MIC,AIC_predicted_INH_binary
1,1767.0790639291138,1761.559568361804,1761.5396644538255,1767.7910453270138,1767.3116469510967
2,1755.1338509479426,1749.7600620316475,1749.770671234799,1755.4070957599351,1755.502400007423
3,1772.0094564927217,1766.5033820450408,1766.791495678412,1772.5561004842148,1773.429013549065
4,1730.645109987516,1725.0277768616588,1725.1922255542058,1731.8248436070212,1731.7311776846975
5,1741.2137133360325,1735.4827696747484,1735.90744098398,1742.457104427905,1742.5071776981306
6,1777.3560707279803,1771.6519332142843,1772.4047860753294,1779.0315947578738,1779.0991295491917
7,1798.6889159820582,1792.048247849897,1793.5170529864322,1800.2559048377182,1800.1813758209823
8,1756.9248633070606,1751.5643251649321,1751.626014477387,1758.1161476294542,1757.9704720740706
9,1830.1504608144207,1824.4464189206035,1824.6042410657542,1831.0723435583416,1831.5572689161966
10,1794.7992087120851,1789.3748918007727,1789.3123335571104,1795.0503395152916,1794.752893322415
11,1793.759903915114,1788.3487539693438,1788.5209995359376,1795.0868322711954,1795.076510184555
12,1798.750201216078,1792.6606040895929,1793.4219981790714,1799.193247459108,1798.9151504814836
13,1769.8588887557448,1764.358611685298,1764.4072477761704,1770.875645204881,1770.6953891379612
14,1738.1718903299047,1733.0515948783495,1732.963013123158,1739.660960903317,1739.9884775090238
15,1780.0480551246928,1772.9321270470882,1772.9642676343929,1780.4200264171734,1781.2176052722248
16,1749.9620459662049,1744.2743338128857,1744.610943666587,1750.6177759470138,1750.898432164716
17,1772.261526474729,1767.3210375763688,1767.3171299763349,1772.2860130462172,1772.395278851496
18,1795.7028066908888,1789.6909245787083,1790.2396321789622,1797.0612850761627,1797.149687638825
19,1790.5779423015606,1784.6788437916116,1785.1951582358365,1791.9304278911936,1791.9323141021673
20,1758.9675772286969,1752.200722475723,1753.7013179975693,1759.9204140994907,1759.012021991788
21,1741.4599692525442,1734.9658706330497,1736.0309893884623,1743.0897526849176,1742.9759420777664
22,1736.6753550718383,1731.2094912139314,1731.2160725926606,1735.2689893385268,1734.813716763012
23,1780.4819102442268,1774.839402702335,1775.2145919203165,1780.8468372377974,1781.442587205971
24,1782.5036243915288,1779.563281629783,1778.240859939449,1781.825078872438,1781.4235615063467
25,1802.9260180632778,1797.706127691281,1797.6129491351007,1803.3387009038975,1803.1957344846048
26,1751.1369228316362,1745.6702890408033,1745.887378515127,1751.8656816999182,1751.993616740995
27,1805.1394799055602,1800.4573478035368,1800.56530877092,1806.273597191058,1806.6070558490735
28,1754.464991938033,1749.0429968927576,1749.098139232286,1755.6700772379604,1755.5259589522325
29,1758.239466633921,1753.1079556658694,1752.9124570685317,1757.7834738721403,1756.8239011777755
30,1813.1121107166616,1807.1549447544885,1807.7581202846484,1813.174974852794,1813.2396828366873
