covariate,pval
screen_sex,0.9314627762410722
screen_years,0.5645382289778469
bl_bmi,0.4957098607017112
HIV_CD4,0.16981492084349742
bl_prevtb,0.4813440697747946
smear_pos_no_contam_sputum_specimen_1,0.5589054868598897
diabetes,0.15670985507983745
total_adherence,0.07737693745685344
high_lung_involvement,0.5843741942490481
RIF_AUC,0.6393299259501213
INH_AUC,0.8930190913007489
EMB_AUC,0.730785266271427
PZA_AUC,0.3462726402319418
smoked_substance_use,0.8358534190812975
cxr_cavity_chest_radiograph_1,0.6262063125606707
F2,0.1230114955552288
delayed_TCC,0.48715747610674576
