covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,binarize_MICs,include_drugs,num_pids,significant
RIF_AUC,0.5651202266224725,0.075514828878099,0.022026982050237443,0.09827604366334436,0.3134901013801622,0.3014138431272619,1.8026732714509677,540.6328777212201,0.23160491546868184,292.77047117147674,189.92165384448458,0.07199630894224995,1.964361609644544,-0.05068769353229419,1.1809281467772392,0.5682918188442473,0.30699367114287024,1.0519942973515048,0,predicted,False,RIF,374,
RIF_pred_MIC,0.2299413138021615,1.2060079257405467,0.48991559103528765,1.7122540364770107,1.3085312516241294,0.41977013577717953,0.17572473986904155,331.75004908438336,0.29566063209760224,268.3642474511436,148.35482636954623,0.8606174084389457,1.9671404790433402,-2.3441234793609103,2.804006106965233,0.7945802320277612,0.06056693832590951,10.424131755380591,0,predicted,False,RIF,374,
cxr_cavity_chest_radiograph_1,-0.39748677600691906,0.02458786434999105,0.014684278680268803,0.039761618986268815,0.1994031569114913,0.6171237330859639,-1.9933825630621824,199.13151708250047,0.38161812881708446,235.6131050741289,107.92081757143923,0.04758456659245179,1.9719485762512015,-0.7906995473785292,-0.004274004635308859,1.4880801154755492,1.004283151219325,2.20493834570976,0,predicted,False,RIF,374,1.0
diabetes,0.3825066757476831,0.05760342209925787,0.021899506257972757,0.08023291189916304,0.2832541471879327,0.3928497470325939,1.350400972219124,364.5470444402559,0.28204746985060186,273.551073870809,156.28040989528225,0.17772512332313975,1.9664927248294326,-0.1745105439751518,0.9395238954705181,0.6821493371043953,0.3908138593201884,1.1906632966430424,0,predicted,False,RIF,374,
predicted_label,-0.47098018236650735,0.0309883249527267,0.006484396785674566,0.03768886829792375,0.19413621068189146,0.2162279941048399,-2.426029542413641,917.4959370674659,0.1777857401350037,313.27641354110034,233.53615025630418,0.01545690775727471,1.9625529339609278,-0.8519827722283102,-0.08997759250470444,1.6015632481664392,1.0941497662747839,2.3442904407962577,0,predicted,False,RIF,374,1.0
screen_sex,0.24029926107668156,0.026275172498181586,0.009783380736607065,0.03638466592600889,0.19074764985710543,0.3847545978442937,1.2597757364596454,375.64359896027355,0.27785038478533125,275.15022852034133,158.81899571212733,0.2085323898487055,1.966299253254724,-0.13476770039743843,0.6153662225508015,0.7863924891864806,0.5404429366722397,1.144270939790181,0,predicted,False,RIF,374,
screen_years,-1.1415482030051967,0.062756187299943,0.02237385981189161,0.08587584243889766,0.29304580262972146,0.36840439379234985,-3.895460002365575,400.1080741460639,0.26922187290802707,278.4378256675405,164.18229367808422,0.00011485209204768147,1.9659107317187627,-1.7176500912801045,-0.5654463147302888,3.1316129866267417,1.7602332254487092,5.571420739151946,0,predicted,False,RIF,374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.43720398835594776,0.026960146765708702,0.008608833923473213,0.035855941819964356,0.18935665243123717,0.32996092831254326,-2.308891621933978,471.140815345006,0.2480982119761956,286.4862688296294,178.155423823824,0.02138147011935243,1.9650118883879795,-0.8092920615286794,-0.06511591518321613,1.5483718946808778,1.067282731487652,2.2463171692995654,0,predicted,False,RIF,374,1.0
INH_pred_MIC,-0.20269497061054434,0.030057867780808892,0.004115606585872633,0.03431066125287728,0.18523137221560845,0.1414868647064739,-1.0942799169819264,1887.589656280107,0.1239496213938969,333.7888116123233,283.63303115080026,0.2739718469678677,1.9612215498336798,-0.5659747295050591,0.16058478828397046,1.2246988421268414,0.8516456109406992,1.7611636044834433,0,predicted,False,INH,374,
RIF_AUC,0.5532949408974465,0.07553579788516661,0.021603649661208715,0.09785956920174894,0.3128251415755277,0.29553896220862175,1.768703557875192,557.2748800799682,0.2281204740494951,294.09809751448876,192.50491422362543,0.07749033609268997,1.9642300018635888,-0.06116558752242973,1.1677554693173227,0.5750519232844511,0.3110643517748961,1.0630749315577268,0,predicted,False,INH,374,
