covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,include_drugs,num_pids,significant
F2,0.008161044037859623,0.014664484967969401,0.005519843130256555,0.02036832286923451,0.1427176333507339,0.3889558967617067,0.057183151417621626,369.8062013898352,0.28003473520544553,251.28008021439774,149.61678385328258,0.9544301834550387,1.9663995778701358,-0.2724788499376483,0.28880093801336754,0.9918721668753834,0.7491613201013304,1.3132156840251703,0,predicted,RIF,353,
Not_Lineage_2,0.232445479900025,0.017662433161108174,0.008662110201894044,0.02661328036973202,0.16313577280821034,0.5067731680555305,1.4248590355059538,256.36960183846907,0.33633009851742585,231.6320442598164,121.68691526905161,0.1554141619366431,1.9692604053502156,-0.08881133818739195,0.553702297987442,0.7925929604162728,0.574817719511908,1.0928744532003203,0,predicted,RIF,353,
RIF_AUC,0.006074413679982246,4.44588207228467e-05,5.2495023912133365e-06,4.988330652710048e-05,0.007062811517172214,0.12201146400327757,0.8600560364966812,2452.400014677855,0.10874350924004567,311.0636213174403,276.04938221301643,0.38984222105595634,1.9609317803947208,-0.007775277882978603,0.019924105242943094,0.9939439982713286,0.980273068069984,1.0078055838509121,0,predicted,RIF,353,
RIF_pred_MIC,-0.35522818654043303,0.6255670412387729,0.1967906395737464,0.8289173687983109,0.9104489929690246,0.3250656031316092,-0.3901681360336445,481.8709272842758,0.24532038441218426,263.3959770200729,170.30524629036546,0.6965846295039925,1.9648992057616566,-2.1441686897117695,1.4337123166309034,1.4265061266438073,0.23842217870654833,8.534943101316555,0,predicted,RIF,353,
TTP_baseline,1.2631395447865115,0.061356638639534285,0.022629326649789408,0.08474027617765001,0.291101831285291,0.3811101464585253,4.339167291423138,380.84969046711626,0.27594478791990396,252.70754113819217,151.9098575788084,1.834590857466811e-05,1.9662123812071592,0.6907715199212947,1.8355075696517282,0.2827648784700723,0.15953250735550623,0.5011892423781622,0,predicted,RIF,353,1.0
bl_bmi,0.020787126282979608,0.00045706644633412814,9.669873215577924e-05,0.0005569884695617668,0.023600603160973805,0.21861596717294976,0.8807879248337775,901.089583401805,0.17939693312907581,286.4043788645097,217.32826493108186,0.3786674742801832,1.9626001338657242,-0.025531420640059414,0.06710567320601862,0.9794274367385598,0.9350963814829955,1.0258601389462334,0,predicted,RIF,353,
diabetes,0.28686518803092104,0.09085663928992016,0.023773765288484967,0.11542286342135462,0.3397394051642444,0.27038446858071163,0.8443683119190671,640.184074828365,0.212836724053143,274.73332505589286,192.23582319854998,0.39877904295322364,1.9636764891962977,-0.3802730943436409,0.954003470405483,0.7506129136213562,0.3851958123797763,1.4626839856183296,0,predicted,RIF,353,
fstrom1_baseline,0.19040091185338084,0.022527149097720623,0.005826024463386898,0.02854737437655375,0.16895968269546954,0.26724310531785295,1.1269014525586951,652.0859650261716,0.21088542853095452,275.41436026594215,193.63210340602302,0.2601986593050455,1.9636086047115011,-0.14136977493676808,0.5221715986435298,0.826627662674123,0.5932308887725727,1.151850494690013,0,predicted,RIF,353,
screen_sex,0.11014086159140618,0.02474786218290227,0.0065641727773764905,0.031530840719524646,0.1775692561214487,0.27408341320522545,0.6202698822822978,626.6545734476741,0.21512203232888086,273.9357137336218,190.61172464906875,0.535305613552276,1.9637567946782166,-0.2385619716430452,0.4588436948258576,0.8957079555617421,0.6320140242415532,1.2694223717889572,0,predicted,RIF,353,
screen_years,-0.02413848173073775,3.352656465995667e-05,1.4394475890422534e-05,4.8400856413393284e-05,0.006957072402483194,0.4436569002610077,-3.469632100152067,307.0658353326088,0.30731463977403234,241.7589311486971,135.26340769612835,0.0005957501580561874,1.9677196185214436,-0.03782804958457805,-0.010448913876897456,1.024432173208579,1.0105036944102734,1.0385526379666672,0,predicted,RIF,353,1.0
