covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,include_drugs,num_pids,significant
INH_AUC,0.021159658292804324,0.00012934347101854326,3.378863758717715e-05,0.00016425839652529299,0.012816333193440822,0.2699396052371608,1.6509915881114476,641.8461141848126,0.21256097858822953,279.5539765848687,194.73693933112668,0.09922945848893595,1.9636668579503018,-0.004007350439603773,0.04632666702521242,0.9790626366211536,0.9547300324253308,1.004015390604709,0,predicted,INH,362,
INH_pred_MIC_resistant,-0.4112861060077407,0.16470979016575818,0.024405052434952494,0.18992834434854244,0.4358076919336583,0.15310901772994293,-0.9437330125654356,1644.891264882806,0.13277930826641135,307.8777992436195,259.33711872567085,0.3454446913943564,1.9614072337955026,-1.26608246551014,0.4435102534946586,1.5087569592433137,0.6417796532162938,3.5469300883210617,0,predicted,INH,362,
PZA_AUC,-0.0036929542627724124,2.975719431065859e-06,8.642645622105779e-07,3.86879281201679e-06,0.001966924709290315,0.30012015636536166,-1.8775270071750052,544.2201937685121,0.23084032263939563,273.06450479097055,181.83041719803964,0.06098049615286937,1.9643325585367708,-0.007556648509421851,0.00017073998387702634,1.0036997816201516,0.9998292745913645,1.007585272031643,0,predicted,INH,362,
RIF_AUC,0.019521602490774358,8.126586030732804e-05,1.986834582263048e-05,0.0001017964843240462,0.010089424380213482,0.25263528791889067,1.9348579022068353,712.9503017122142,0.2016830360404544,283.4158274883713,202.79834269353483,0.05340297088363748,1.9632969449957256,-0.00028693357166416356,0.03933013855321288,0.9806677100946816,0.9614332505642396,1.000286974741039,0,predicted,INH,362,
screen_years,-0.021987418325162305,2.906870409757609e-05,1.41136422983615e-05,4.365280113921631e-05,0.006607026648895576,0.5017112903514788,-3.3278840079807606,259.81435408017705,0.33409304010363544,236.408069212541,123.77959342148793,0.0010016590810344797,1.9691365828460732,-0.03499755620334148,-0.008977280446983128,1.0222309230124467,1.0090176970823856,1.0356171779587318,0,predicted,INH,362,1.0
INH_AUC,0.021240150702046313,0.00012966601608575056,3.2111222056023286e-05,0.00016284761221030796,0.012761175972860337,0.2559004828421179,1.6644352171946006,698.4997291563296,0.20375856713026502,282.6789793593037,201.23876395501227,0.09647396608389973,1.9633660148852712,-0.0038147085130381606,0.046295009917130786,0.9789838326823351,0.9547602568955633,1.0038219937743285,0,measured,INH,361,
INH_lower_bound_resistant,0.13185797246319203,0.3505051924637977,0.03234123931996351,0.3839244730944267,0.6196163918864854,0.0953460358053917,0.2128058169373747,3827.325485291697,0.0870464973521223,324.11370933170735,298.8093048464363,0.8314897596706587,1.960584002062396,-1.0829520128850754,1.3466679578114595,0.8764654684714237,0.26010550083921785,2.953385126205707,0,measured,INH,361,
PZA_AUC,-0.0038151349798911352,2.9872485626038965e-06,9.032661791284701e-07,3.920623614369983e-06,0.0019800564674700523,0.3124530926052201,-1.9267808987113333,511.6770330665471,0.23806800743255552,270.49855622798555,176.9524651419439,0.05456038590287078,1.9646110509956258,-0.007705175797478161,7.49058376958902e-05,1.0038224218712262,0.9999250969676764,1.007734937053978,0,measured,INH,361,
RIF_AUC,0.02064856528030016,8.093781979250238e-05,2.0415077289315532e-05,0.00010203339965812844,0.010101158332494767,0.26063933918294435,2.0441779646077887,678.4217723390076,0.20675171009011342,281.6163637228416,199.00737837377778,0.041321540114603816,1.96346687503471,0.0008152754949658364,0.04048185506563448,0.9795631565887682,0.9603265894162601,0.9991850567518035,0,measured,INH,361,1.0
screen_years,-0.022517031427555127,2.9224910261710866e-05,1.4265175620456362e-05,4.396559173618244e-05,0.006630655452983697,0.5043875701402628,-3.3958982769075714,257.98159278632687,0.33527767721002627,235.9875032958205,123.24745102636922,0.0007919340702749406,1.9692020483770092,-0.03557413172765281,-0.009459931127457445,1.022772453291053,1.009504817705587,1.036214461649131,0,measured,INH,361,1.0
