"term","coef","OR","lower_95","upper_95","p","AIC","MIC_type","TB_deaths_only","Drug","pids"
"screen_sex",0.157434120265534,1.17050364297237,0.43014399398592,3.18516310204821,0.757903076348942,240.604510453599,"predicted",TRUE,"PZA",346
"screen_years",-0.114990952691981,0.891374208407374,0.563674815729549,1.40958573496939,0.622872039654624,240.604510453599,"predicted",TRUE,"PZA",346
"underweight",-0.0217222766157471,0.978511952969364,0.407053922774272,2.35223293164253,0.961284923029223,240.604510453599,"predicted",TRUE,"PZA",346
"fstrom1_baseline",-0.0625040231248154,0.939409283445073,0.379936440709408,2.32273008657717,0.892352259241231,240.604510453599,"predicted",TRUE,"PZA",346
"HIV_CD41",0.546714589964138,1.72756791506841,0.606478957847038,4.92101310780604,0.306007726883422,240.604510453599,"predicted",TRUE,"PZA",346
"HIV_CD42",1.16502399085659,3.20599979696155,0.980597081785529,10.4818124477812,0.0539116090700421,240.604510453599,"predicted",TRUE,"PZA",346
"TTP_baseline",0.0989824402400431,1.1040469125899,0.646964389115693,1.88405978088745,0.71660774865727,240.604510453599,"predicted",TRUE,"PZA",346
"smear_pos_no_contam_sputum_specimen_1",0.57041526831648,1.76900150920324,0.47180296937976,6.63278220498961,0.397589850585958,240.604510453599,"predicted",TRUE,"PZA",346
"diabetes",0.547545579119448,1.7290041019161,0.267803602923026,11.1628639488541,0.565012977737776,240.604510453599,"predicted",TRUE,"PZA",346
"high_lung_involvement",0.183666621619649,1.20161516379733,0.462032269890923,3.12506094478757,0.70644715598892,240.604510453599,"predicted",TRUE,"PZA",346
"F2",0.188670003525188,1.20764236899634,0.981561801517134,1.48579548342341,0.074424959544,240.604510453599,"predicted",TRUE,"PZA",346
"Lineage_2",0.170253451308539,1.18560530645972,0.51027596514254,2.75470537263651,0.692245002477073,240.604510453599,"predicted",TRUE,"PZA",346
"total_adherence",-0.350392098106281,0.704411837015836,0.484757882450739,1.02359560120912,0.0661135825668107,240.604510453599,"predicted",TRUE,"PZA",346
"PZA_pred_MIC",-0.104630498394393,0.9006572554118,0.590061021084453,1.37474509032146,0.627733243937527,240.604510453599,"predicted",TRUE,"PZA",346
"PZA_AUC",-0.294124643009107,0.745183603727801,0.427189264794383,1.29988894625437,0.300168853017755,240.604510453599,"predicted",TRUE,"PZA",346
