covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
HIV_Low_CD4,0.3979186885627304,1.4887229747809854,0.15592888863149784,1.3611431087613977,0.5333791508616907,1,0.010712985422330325,3.900649621038126,1.3712725577425473,11.095582260577444,0,measured,True,RIF,372,1.0
RIF_midpoint,-0.016317722213489136,0.9838146906120914,0.2066110483113558,-0.035946458591611725,0.4551453564121911,1,0.9370501417149562,0.9646919430657076,0.39533769119671,2.3540142155401824,0,measured,True,RIF,372,
TTP_baseline,0.106514853452994,1.1123944492216364,0.258301314649929,0.29564836125433813,0.7169550340675619,1,0.6800706875325191,1.3439974721445205,0.3297047625019959,5.478626366884603,0,measured,True,RIF,372,
RIF_AUC,-0.5352173985261343,0.5855419803432972,0.32109456829412203,-0.05409800700579469,0.032455178499302545,1,0.09554366693088763,0.9473392560679171,0.8889547114859859,1.0095583661254521,0,measured,True,RIF,372,
smear_pos_no_contam_sputum_specimen_1,0.20939610047562396,1.2329332672757103,0.2686359860192435,0.4778998089147114,0.6131016102716609,1,0.43569762363978104,1.6126838987390457,0.4849268296722842,5.363178933633692,0,measured,True,RIF,372,
HIV_High_CD4,0.1889797043184459,1.208016434717229,0.19845453057122447,0.5064037327302906,0.5317931648848296,1,0.34096668924566087,1.6593131185501453,0.5851472712721635,4.705345407159875,0,measured,True,RIF,372,
fstrom1_baseline,0.041065262257115424,1.0419201013842248,0.20817102074856106,0.08753938265917947,0.44376101946609947,1,0.84361864153628,1.0914852491880875,0.4573912016097154,2.6046413770147963,0,measured,True,RIF,372,
F2,0.028921276574786856,1.029343557834838,0.1799397449605492,0.05219043981248796,0.32471368976240245,1,0.8723079800552102,1.0535763662950197,0.557531264494824,1.9909612793126557,0,measured,True,RIF,372,
high_lung_involvement,0.058520024461135245,1.0602662167416765,0.2273137486192269,0.1171266452752343,0.45496386998932353,1,0.7968378609810325,1.124261803120377,0.46089448079466305,2.7424164415598637,0,measured,True,RIF,372,
screen_years,-0.11967509156571868,0.8872086514667494,0.225852963891272,-0.009381677146635447,0.01770526817332795,1,0.5961947558914285,0.9906621934858449,0.9568741842330317,1.025643284951638,0,measured,True,RIF,372,
bl_bmi,-0.15296277555430568,0.8581616658091672,0.278240523457467,-0.045884613787760924,0.0834644828631376,1,0.5824907394847177,0.9551521672232096,0.8110123521746966,1.1249097009495068,0,measured,True,RIF,372,
Lineage_2,0.07641480028772102,1.0794102209790812,0.2013208648079616,0.15262625206392813,0.4021059918001958,1,0.7042667000758225,1.164889522517544,0.5296774673587903,2.5618752605006994,0,measured,True,RIF,372,
diabetes,0.26506364917356134,1.3035139407230685,0.1747722089024991,1.2335896412861416,0.8133789267560009,1,0.12936175424046759,3.4335325916492976,0.6972552234923974,16.907935087052785,0,measured,True,RIF,372,
screen_sex,-0.05198721912128244,0.949341000177537,0.23200786280444918,-0.10607185033889661,0.47337602812392393,1,0.8226987529572065,0.8993600264317192,0.35562736757958824,2.2744269167142908,0,measured,True,RIF,372,
HIV_Low_CD4,0.4074405099493175,1.5029660313491169,0.15387724562616278,1.3937139880282727,0.52636118508472,1,0.008101068302447655,4.029788882170876,1.43629233010201,11.306332349288974,0,measured,True,INH,372,1.0
TTP_baseline,0.08817207574551121,1.0921760428662304,0.2588621145298264,0.24473516000336787,0.7185116204037245,1,0.7333941435960254,1.2772829927829674,0.31238410629055074,5.222582746047868,0,measured,True,INH,372,
INH_midpoint,-0.10426734262760108,0.9009843936854853,0.1991814242191966,-0.2752040303577873,0.5257209912149101,1,0.6006407869396353,0.7594171632617076,0.27101035755958963,2.1280161874612156,0,measured,True,INH,372,
smear_pos_no_contam_sputum_specimen_1,0.19487248597609072,1.215156027175495,0.26715132023102695,0.4447529041809919,0.6097131923647405,1,0.4657288332151721,1.5601046528646627,0.4722423396229454,5.153977785713368,0,measured,True,INH,372,
HIV_High_CD4,0.1338640859656595,1.1432374270739478,0.19817410171746538,0.35871192124053775,0.5310417073734474,1,0.49936622683091914,1.4314843619277868,0.5055488038421335,4.053312880715834,0,measured,True,INH,372,
fstrom1_baseline,0.07177150328325932,1.074409816898211,0.20631664018029813,0.15299629771265275,0.4398080109806176,1,0.7279373297492716,1.1653206645827994,0.49213039657228047,2.7593748745496325,0,measured,True,INH,372,
