covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
F2,-0.01574527472011033,0.9843780340925794,0.1849394915298208,-0.028413435018542654,0.33373607754416257,1,0.9321521261493483,0.9719864304917858,0.5053398390876648,1.8695490598283686,0,measured,False,RIF,372,
RIF_AUC,-0.34947116824049484,0.7050608497160771,0.287561952500061,-0.035323391503825324,0.029065812441425493,1,0.2242555006049517,0.9652931981569627,0.9118394582076582,1.021880496638801,0,measured,False,RIF,372,
TTP_baseline,-0.023109777141963453,0.9771552085791503,0.23976101769779012,-0.06414474150302094,0.6654935877680779,1,0.9232134420255497,0.9378692411024327,0.25449140759408473,3.456300241024316,0,measured,False,RIF,372,
RIF_midpoint,0.0350109225201955,1.0356310204385832,0.18872696365457448,0.07712587946778335,0.41574834375607195,1,0.852828275009047,1.0801780400716985,0.47820015447374425,2.4399502746651636,0,measured,False,RIF,372,
high_lung_involvement,-0.06315369646197776,0.9387991724888062,0.20858151735559388,-0.1264008460597009,0.4174716880117455,1,0.7620597745853095,0.8812615257643092,0.38882328486702067,1.9973646307166153,0,measured,False,RIF,372,
HIV_Low_CD4,0.30103551510949267,1.3512573307378937,0.14886889953719074,1.0297390614241724,0.5092293539814374,1,0.04316067065080455,2.8003350239218814,1.0321746298860162,7.5974316933846255,0,measured,False,RIF,372,1.0
HIV_High_CD4,0.0898144674546127,1.0939712975961042,0.19314037745804177,0.24067336614919044,0.517552974476439,1,0.6419159138808059,1.272105454737266,0.46129763100092674,3.508043786093181,0,measured,False,RIF,372,
bl_bmi,-0.2173929751620935,0.8046137139641567,0.2418778173862441,-0.0652118966156154,0.07255667396447141,1,0.36877419320929805,0.9368689229890715,0.8126779572734699,1.080038373142862,0,measured,False,RIF,372,
diabetes,0.2619245546708515,1.299428502920009,0.145193003148204,1.218980491847376,0.6757191536043928,1,0.07123521883668388,3.3837362278305423,0.8999602233780475,12.722418793750604,0,measured,False,RIF,372,
fstrom1_baseline,0.0594953793456174,1.0613008570637503,0.19628033590761768,0.1268271159789468,0.41841348354014324,1,0.761802746102191,1.1352207392890765,0.4999494716304224,2.577712749068974,0,measured,False,RIF,372,
screen_sex,-0.06405564702710745,0.937952803793376,0.21395604717834693,-0.13069560402854877,0.43654410062708654,1,0.7646448230881608,0.8774848365919206,0.3729517147012004,2.0645558341664625,0,measured,False,RIF,372,
Lineage_2,0.06990885041194123,1.0724104270305017,0.1876832473845935,0.1396316653880848,0.374867048211085,1,0.7095331424772422,1.149850191223395,0.5515105845955124,2.3973347007041936,0,measured,False,RIF,372,
smear_pos_no_contam_sputum_specimen_1,0.04859414967014213,1.0497942049458118,0.23872544328977896,0.11090528805925516,0.5448374801255963,1,0.8386999780822525,1.1172890812258063,0.38405997625960026,3.2503644435540204,0,measured,False,RIF,372,
