covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
HIV_High_CD4,0.20329728407368153,0.2197185961224866,0.0113492533820881,0.2314461579506443,0.4810885136340758,0.05337537211288178,0.4225777134814591,11294.902517748187,0.050670799342707594,363.60776420020676,352.267498335246,0.6726114338480775,1.9601740369188123,-0.7397199298116959,1.146314497959059,1.225436716921397,0.4772475596191872,3.1465748056990552,0,measured,False,False,RIF,357,
HIV_Low_CD4,1.102848839275653,0.2134411917486558,0.007509869945369665,0.22120139069220446,0.47032051910607137,0.036357550667571764,2.344887782850332,23562.85950240297,0.03508205314290611,369.57849505781627,363.87125102259967,0.019041060424624938,1.9600646680339469,0.18099020712445768,2.0247074714268485,3.0127366124240775,1.1984034434199649,7.57389503983571,0,measured,False,False,RIF,357,1.0
RIF_midpoint,0.2063317155307535,0.15196254576881577,6.980009477541571e-06,0.1519697584452759,0.3898329878874746,4.7463514273438846e-05,0.5292823386981073,12874175981.865496,4.746126159517168e-05,382.9972855203978,382.99727412651,0.5966096054144792,1.9599639847243198,-0.5577269007861687,0.9703903318476756,1.2291608681270643,0.5725089555544806,2.638974334072413,0,measured,False,False,RIF,357,
bl_prevtb,0.5831742055592583,0.12572403027561502,6.19179459677363e-05,0.12578801215311503,0.3546660572328779,0.0005089073056259148,1.6442909990011794,112088884.17276928,0.0005086484507133514,382.82064369520486,382.81933624044876,0.10011611050322007,1.959964005704251,-0.11195850066222635,1.2783069117807428,1.791716691081117,0.8940813605148538,3.5905554492826655,0,measured,False,False,RIF,357,
diabetes,0.9729255453423051,0.3955224024616104,9.541651530603308e-05,0.39562099952742663,0.6289841011722209,0.00024928313845839383,1.5468205691194574,466905175.4875673,0.000249221011862387,382.9200084160493,382.91969437452593,0.12190651950388279,1.9599639896208954,-0.2598606429993138,2.2057117336839243,2.645673185337232,0.771159044727341,9.076709469299301,0,measured,False,False,RIF,357,
total_adherence,-0.9961861885539857,0.23538819180272827,0.00017756975297750623,0.23557168054747168,0.48535727103595727,0.0007795155030427333,-2.05248019964284,47799714.09188773,0.0007789083319225505,382.7171299814253,382.71406571144763,0.04012302284026323,1.9599640341694573,-1.947468983507099,-0.044903393600872143,0.3692851428316304,0.14263462569993793,0.9560898417686037,0,measured,False,False,RIF,357,1.0
HIV_High_CD4,0.1794541761906771,0.22023126604732018,0.011633559101315269,0.23225261045201265,0.4819259387623918,0.054585094207783694,0.37236878482101166,10824.631650142901,0.05175978165023148,363.19066713649255,351.400395808057,0.7096255815237134,1.9601831635455451,-0.7652089350472446,1.124117287428599,1.1965640716873125,0.46523671656356314,3.077499102453803,0,measured,False,False,INH,357,
HIV_Low_CD4,1.0940018186979308,0.2129839112901226,0.007385916561176317,0.2206160250700048,0.4696978018577528,0.03583422679042586,2.3291610358211714,24231.619251880325,0.03459455756879134,369.7652134012936,364.20754597673636,0.019858712892154025,1.9600618891699497,0.17336505784965117,2.0146385795462103,2.986200425794836,1.1893001892159665,7.498016954740379,0,measured,False,False,INH,357,1.0
INH_midpoint,-0.04964250444858641,0.22240429794318803,0.00016377913123171364,0.22257353637879415,0.4717769985690211,0.0007609494833114023,-0.10522451200283282,50158789.37744496,0.0007603708794835341,382.724230112371,382.72130985212397,0.9161976613449512,1.95996403183528,-0.9743084526910721,0.8750234437938993,0.9515695455806108,0.3774532901348045,2.3989315333643098,0,measured,False,False,INH,357,
bl_prevtb,0.5876431564900524,0.12772977745679118,0.0001010091090842908,0.12783415353617827,0.3575390237948555,0.0008171632446663361,1.6435776723136752,43500058.26418512,0.0008164960341178391,382.70273331023134,382.6993664160384,0.10026347633505367,1.959964039074953,-0.11312047271382841,1.2884067856939332,1.7997417033925913,0.8930430663133225,3.627003356402573,0,measured,False,False,INH,357,
diabetes,0.989965874926362,0.3953716718550993,8.787400102687152e-05,0.3954624749894938,0.6288580722146244,0.00022966525135294106,1.5742278244756223,550055964.1226909,0.00022961251733643316,382.9275187726769,382.927252193652,0.11543478945124053,1.9599639888528355,-0.24257330071371785,2.2225050505664417,2.6911426353416976,0.784606233273942,9.230424608703375,0,measured,False,False,INH,357,
total_adherence,-0.9754742511516319,0.22883691669522932,0.00018228113831127973,0.2290252738714843,0.47856585113386885,0.0008231065991238111,-2.03832816077544,42874639.158336736,0.0008224296518500582,382.7004606428829,382.69704467628446,0.041517131535443584,1.9599640398704623,-1.9134461100840157,-0.037502392219248004,0.37701351206633776,0.14757096355006288,0.9631921135513521,0,measured,False,False,INH,357,1.0
EMB_midpoint,-0.058087770895214705,0.1810440398024739,0.0007270075159311679,0.18179528090226946,0.4263745781613503,0.004149493684603887,-0.1362364781355067,1698261.3634924223,0.004132346538738795,381.4327112909227,381.3470600206452,0.8916343547572471,1.959965381423327,-0.8937671836104358,0.7775916418200065,0.9435671260708486,0.4091116474213129,2.1762248203232626,0,measured,False,False,EMB,357,
