covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
F2,0.3780114775886582,0.05938737265679758,1.1771845104239146e-06,0.05938858908079169,0.243697741230385,2.048287269979905e-05,1.5511488768018442,69124826959.12224,2.0482453160318387e-05,382.0076792613043,382.0076771501979,0.12086601033292049,1.9599639845743724,-0.09962731834502148,0.8556502735223379,1.4593796929394829,0.9051746971873721,2.352903914329447,0,measured,False,True,RIF,361,
HIV_High_CD4,0.4048814594566624,0.24558650397985973,0.004688105381515037,0.2504308795407586,0.5004306940433996,0.01972574014611224,0.8090659991002656,77499.3654260223,0.01934416222864573,374.6257339951344,372.82353484647365,0.4184796681674846,1.9599945952119906,-0.575959996146586,1.3857229150599109,1.4991247824573612,0.5621649335106045,3.9977148687368937,0,measured,False,True,RIF,361,
HIV_Low_CD4,1.429064017674192,0.24587110327219328,0.002598895096371293,0.24855662820511026,0.4985545388471659,0.010922491082426933,2.8664146173028384,248422.15109159617,0.010804479254123504,377.8880252895875,377.3140729696276,0.004151849987995187,1.959973533940466,0.45191031630785294,2.406217719040531,4.174789833165493,1.5713110212844033,11.09192891478318,0,measured,False,True,RIF,361,1.0
INH_AUC,0.03330171674918629,0.0009640261049512664,3.285099510267847e-07,0.0009643655652339941,0.031054235866206627,0.00035212768719041903,1.0723727639817853,234047199.9764303,0.00035200373692865193,381.88103299103994,381.8804098992643,0.2835526372405231,1.9599639946759206,-0.027563467430752296,0.09416690092912489,1.033862425798458,0.9728129386562924,1.098743111861014,0,measured,False,True,RIF,361,
RIF_midpoint,-0.049638529756777995,0.19977018002540034,8.465428283920432e-05,0.19985765611766754,0.4470544218746388,0.00043788363336337495,-0.11103464662899014,151377326.04721832,0.0004376919752109755,381.84829875551634,381.84733554815057,0.9115888726999166,1.9599640002112995,-0.9258491027663448,0.8265720432527889,0.9515733277838053,0.3961948660543846,2.285470801696989,0,measured,False,True,RIF,361,
smear_pos_no_contam_sputum_specimen_1,0.606671603716696,0.2367786042409601,0.00018224793132532458,0.2369669271033296,0.48679248874990827,0.0007953542211856839,1.2462632800161717,45916352.2052747,0.0007947221355804801,381.7119076989038,381.70873447711625,0.21266776037713164,1.9599640362051183,-0.3474241673279088,1.560767374761301,1.8343158968070177,0.7065055881047946,4.762474445962701,0,measured,False,True,RIF,361,
total_adherence,-1.2972781681814947,0.24150907464225965,2.4636152895921543e-05,0.2415345320002521,0.49146162820738315,0.0001054095297667862,-2.6396326665691983,2610536673.9187655,0.00010539841976892021,381.97524004553327,381.9751841547028,0.00829959322685491,1.9599639854487831,-2.2605252596979852,-0.33403107666500387,0.27327458916434244,0.10429568804317006,0.7160315300094576,0,measured,False,True,RIF,361,1.0
F2,0.3783084441904998,0.061254639066262564,1.193698202169869e-06,0.06125587255440481,0.24749923748247146,2.0137056736353717e-05,1.528523675622607,71519340516.50204,2.0136651243465142e-05,382.00781136299787,382.0078093225712,0.12638256986680027,1.9599639845732235,-0.10678114748447948,0.8633980358654791,1.4598131443247988,0.8987223391137522,2.3712044572575453,0,measured,False,True,INH,361,
HIV_High_CD4,0.4091456301540105,0.24432477852005652,0.00476149072129472,0.24924498559872774,0.4992444146895664,0.02013797826186227,0.8195297095279875,74419.04533806318,0.01974044559753954,374.47434760428877,372.5994386870055,0.41248688319289106,1.9599958622555913,-0.5693713568917541,1.387662617199775,1.5055309552264549,0.5658810641381421,4.00547677027722,0,measured,False,True,INH,361,
HIV_Low_CD4,1.4304621743037331,0.2459257221674199,0.002636946044067743,0.24865056641295658,0.4986487405107493,0.011079948130361348,2.868677002650319,241486.87878547297,0.010958528206250984,377.829176201519,377.23895000608854,0.004122282097099216,1.9599738081914684,0.4531237034150004,2.4078006451924656,4.180630925677249,1.5732187870140502,11.109500522747647,0,measured,False,True,INH,361,1.0
INH_AUC,0.033210737623042184,0.0009754590388077036,3.0164538365159713e-07,0.0009757707390374769,0.031237329255835507,0.0003195421000499477,1.0631746827984028,284196898.5536374,0.0003194400255133552,381.89347283366436,381.89295965977203,0.28770274220143927,1.9599639928873342,-0.02801330295236152,0.0944347781984459,1.0337683701770197,0.9723754312511671,1.0990374795909563,0,measured,False,True,INH,361,
INH_midpoint,0.008757890004084548,0.2591912670369113,0.00010278856135252895,0.25929748188364227,0.5092126097060463,0.000409793308027699,0.017198886746226147,172831994.92350632,0.00040962544626102336,381.85902060471517,381.85817691839713,0.9862779503263267,1.9599639982659338,-0.9892804924828085,1.0067962724909776,1.0087963525242583,0.3718441394484879,2.7368189327271275,0,measured,False,True,INH,361,
smear_pos_no_contam_sputum_specimen_1,0.6031080536597077,0.2364647838943182,0.00018506684344592566,0.23665601963254565,0.48647304101311273,0.0008087281965543097,1.2397563745848992,44411454.42129799,0.000808074683772621,381.7068068184782,381.70352615955767,0.21506552515506427,1.959964037955807,-0.3503616121609937,1.556577719480409,1.827790853352968,0.7044333120039,4.74256305979788,0,measured,False,True,INH,361,
total_adherence,-1.3023916212592528,0.2401793549308237,2.9060184107672514e-05,0.24020938378773496,0.4901116034004245,0.00012502680307352183,-2.6573368437375886,1855668241.3888137,0.00012501117332617238,381.96774766960067,381.96766904599383,0.007876070452025898,1.9599639858184457,-2.262992712955818,-0.3417905295626875,0.2718807790037762,0.10403866054001062,0.710497017243631,0,measured,False,True,INH,361,1.0
EMB_midpoint,0.18081052939846634,0.2576639677558529,0.0002962949740820844,0.257970139229071,0.5079076089497686,0.0011882587848226567,0.3559909838175869,20587680.802060794,0.0011868485016643003,381.56210934758127,381.55503779122427,0.7218473209939831,1.9599640997677665,-0.8146701501419658,1.1762912089388984,1.1981881363579518,0.4427853559630744,3.2423267634638457,0,measured,False,True,EMB,361,
F2,0.38943124461369355,0.06047886290674935,1.1145111220559673e-06,0.060480014568242146,0.2459268480020881,1.9042380055439873e-05,1.5835247260615766,79978283729.3474,1.9042017450106564e-05,382.008229530078,382.00822770545415,0.1133019155345985,1.9599639845697152,-0.09257652030914976,0.8714390095365369,1.476140991944227,0.9115794539539507,2.390348113537189,0,measured,False,True,EMB,361,
HIV_High_CD4,0.43934538866367434,0.25101498234250913,0.005095529399501131,0.2562803627219936,0.5062414075537417,0.020976358982030433,0.8678574729528308,68701.96460086189,0.020545391475023985,374.16684579930865,372.14008452065326,0.3854753937341837,1.9599985150273236,-0.5528870183870015,1.4315777957143503,1.5516911313714683,0.5752865477596826,4.185297529645465,0,measured,False,True,EMB,361,
HIV_Low_CD4,1.4313742715520408,0.2465824360905766,0.0026063296416594527,0.24927564338695804,0.49927511793294693,0.010922137598608786,2.866904878973511,248438.05746965398,0.01080413336733701,377.8881574237026,377.3142413944819,0.004145424112932719,1.9599735333290578,0.45280825455372076,2.4099402885503607,4.184445807147721,1.572722595204828,11.13329633995354,0,measured,False,True,EMB,361,1.0
INH_AUC,0.03183626174649445,0.0009857142255291608,4.6000878607356237e-07,0.0009861895679414369,0.03140365532770727,0.00048223146218756915,1.0137756708342642,124826178.4072076,0.00048199902709196153,381.8313727747667,381.83020479259244,0.3106898088428877,1.959964003544651,-0.029713772275534997,0.09338629576852389,1.0323484565323389,0.9707233417215969,1.0978857619871236,0,measured,False,True,EMB,361,
smear_pos_no_contam_sputum_specimen_1,0.6077451826251627,0.23575881598164936,0.00018154640610337468,0.23594641393462285,0.48574315634357923,0.000795719779098692,1.251165713172268,45874206.97426996,0.0007950871125571237,381.71176827204016,381.708592137317,0.21087403101986366,1.9599640362525836,-0.34429393466406855,1.559784299914394,1.8362862371339572,0.70872057988507,4.757794877685647,0,measured,False,True,EMB,361,
