covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,MIC_type,include_drugs,num_pids
HIV_High_CD4,0.2961461278505936,0.2050302644550333,0.0031835148196087256,0.20831989643529564,0.45642074496597507,0.016044616578953026,0.6488445828041196,116296.02474779046,0.015791251995385436,376.96717020867464,375.7491998362768,0.5164401186482592,1.9599843833069555,-0.5984314045000443,1.1907236602012314,1.3446666357214272,0.5496731750831667,3.289460798134832,measured,RIF,315
HIV_Low_CD4,0.7879394770213818,0.27352022370573187,0.00477806774216487,0.2784575603726356,0.5276907810191832,0.018051084486591963,1.4931840868994406,92242.3889111695,0.017731020340394026,376.2242089361187,374.6959561301081,0.13539242664921683,1.9599897026709188,-0.24632901997059198,1.8222079740133554,2.1988609516181956,0.7816649992165452,6.185500808399168,measured,RIF,315
RIF_midpoint,0.02998935539833315,0.03988084709964076,2.1391278039876465e-06,0.03988305753170488,0.19970742983601006,5.542590553801149e-05,0.15016644810340274,9441055362.773426,5.542283367726743e-05,382.99423611517324,382.99422057828957,0.8806332962297491,1.9599639847913257,-0.36143001457548724,0.4214087253721535,1.030443565233846,0.6966793517695645,1.524107092358678,measured,RIF,315
bl_prevtb,0.48255307444162915,0.12002042563961327,1.6693189716607845e-05,0.12003767526898709,0.34646453681291406,0.0001437224479241873,1.3927921133879309,1404344356.6856081,0.00014370179475047462,382.96042390794366,382.96031947583225,0.16368266421033512,1.9599639862292915,-0.19650494021729498,1.1616110891005533,1.6202056318693419,0.8215972724161731,3.195076684981286,measured,RIF,315
diabetes,1.2846677618170892,0.3441450692734136,1.8994760154284873e-05,0.3441646971922397,0.5866555183344309,5.7033851647313714e-05,2.189816206731302,8916247847.664392,5.703059897259254e-05,382.9936203162028,382.99360386487604,0.028537568904854396,1.9599639848061154,0.13484407439384105,2.4344914492403373,3.6134672259789435,1.144358335672164,11.410014666039514,measured,RIF,315
intercept,-1.9229489253826955,0.03126745333307788,8.582807004611746e-06,0.03127632223364931,0.17685113014524195,0.00028364639988283656,-10.873263426721907,360653194.7232019,0.0002835659674170494,382.90685376696433,382.9064472337486,1.5457263440116763e-27,1.9599639911177613,-2.2695707722558507,-1.5763270785095405,0.14617526597116634,0.10335653405539719,0.2067330196104369,measured,RIF,315
total_adherence,-1.4160053194306792,0.9147782319477462,8.282230956860147e-05,0.914863815000967,0.956485135797189,9.355606663121478e-05,-1.4804258492219013,3313869079.5530314,9.354731471240637e-05,382.97963384938294,382.979589588919,0.13875963593020568,1.9599639852559154,-3.290681738025783,0.4586710991644247,0.2426815183266756,0.03722846068568363,1.581970305852282,measured,RIF,315
HIV_High_CD4,0.2899927504335435,0.20421783434251425,0.0031747629016071746,0.207498422674175,0.4555199476139053,0.016064161791856744,0.6366192127316865,116017.66635885258,0.015810184431194932,376.95991879299,375.7390825317226,0.5243741634824896,1.959984432249727,-0.602819255468922,1.1828047563360091,1.336417799540702,0.5472665748720815,3.263514742055416,measured,INH,315
HIV_Low_CD4,0.7844753700749078,0.2722376193027972,0.004704976808184501,0.27709942867125453,0.5264023448572912,0.017858697783607023,1.4902581224017546,94204.88121256532,0.01754536049305708,376.2953195286773,374.7982122533079,0.13615972708434756,1.959989166899623,-0.24726752327594237,1.8162182634257578,2.1912570401066414,0.7809317481641918,6.148562184985436,measured,INH,315
INH_midpoint,-0.006266501366638626,0.0533216337917076,5.074981127849409e-06,0.053326877938873044,0.23092613091392028,9.834933389193979e-05,-0.027136389207397752,2998752155.601464,9.833966225166217e-05,382.97779830616696,382.9777493951641,0.9783509510507253,1.95996398533114,-0.45887340122978637,0.4463403984965091,0.9937530922039742,0.6319952496565245,1.5625832770130306,measured,INH,315
bl_prevtb,0.4823437467354485,0.12047688451508395,1.7677580068965904e-05,0.12049515134782189,0.34712411519198993,0.0001516210583586629,1.389542603424917,1261858439.4284775,0.0001515980728984049,382.9573995113056,382.95728328881916,0.16466781553426396,1.959963986420036,-0.1980070178587719,1.162694511329669,1.6198665134355619,0.8203640959182626,3.198540177959377,measured,INH,315
diabetes,1.2895356502486477,0.35016534367751595,1.9326069296335313e-05,0.35018531394912217,0.5917645764568222,5.703097684219926e-05,2.1791362672799965,8917146715.629221,5.70277244953642e-05,382.99362141717205,382.99360496750353,0.02932154678193276,1.9599639848060886,0.129698392909247,2.4493729075880486,3.63110006381029,1.1384849564016613,11.581082032981577,measured,INH,315
intercept,-1.9224888373141509,0.031046302124423695,8.52756853141289e-06,0.03105511394523949,0.1762246122005649,0.00028382835355007324,-10.909309507380991,360191066.5383976,0.00028374781787410264,382.9067841154272,382.90637706077456,1.0404463830796399e-27,1.9599639911262006,-2.267882731577437,-1.5770949430508647,0.1462425349405945,0.10353115142841288,0.20657433758610388,measured,INH,315
total_adherence,-1.416043640436545,0.9147674397176018,8.225017859762571e-05,0.9148524315688193,0.9564791851205228,9.291088371464603e-05,-1.4804751242528233,3360048249.5688744,9.290225208430578e-05,382.9798809183447,382.9798372661226,0.13874649463726382,1.9599639852460768,-3.290708395910285,0.4586211150371948,0.24267221870497482,0.03722746826690644,1.581891234423415,measured,INH,315
EMB_midpoint,-0.11741462402829898,0.04722561471966037,8.502105642554493e-05,0.0473134698113001,0.21751659663414216,0.001860327116147734,-0.5397961619718961,8410730.620089805,0.0018568727254653157,382.3042529491459,382.2868763495048,0.5893376285011556,1.9599642665930257,-0.5437393808221465,0.30891013276554846,0.8892164262222071,0.580573203936599,1.361939971224959,measured,EMB,315
HIV_High_CD4,0.2585293521627043,0.21047115659935026,0.003523509910978436,0.21411211684069464,0.4627225052239135,0.017299093615355865,0.5587135902058638,100287.91796617335,0.01700492384582494,376.50231512183495,375.09413144684845,0.5763584503171879,1.959987639427129,-0.6484010385609214,1.1654597428863298,1.295024161054894,0.5228811755347164,3.2073971223019915,measured,EMB,315
HIV_Low_CD4,0.8185922188552736,0.276295276322138,0.005111266523003697,0.2815769183959085,0.5306382179940571,0.01911593330177863,1.5426559774562665,82424.09132476,0.018757368692927757,375.83110164573196,374.1251940455191,0.12291810742278284,1.9599927662401146,-0.2214548499036234,1.8586392876141704,2.267305719509108,0.801352102455814,6.41500185744152,measured,EMB,315
bl_prevtb,0.49566668065897096,0.11966148800972669,3.0746628986998967e-05,0.11969325952634659,0.3459671364831443,0.00026551162908250306,1.4326987403993503,411586852.0368552,0.0002654411513699772,382.913795851791,382.91343961388424,0.15194395039000738,1.9599639903037736,-0.1824164486765028,1.1737498099944448,1.6415922921555974,0.8332542605162867,3.234097179407096,measured,EMB,315
diabetes,1.3258550490483445,0.3466152296492104,5.7633329197365455e-05,0.346674784089381,0.588790951093324,0.0001718171478814784,2.251826470135739,982684740.8786625,0.00017178763182053766,382.9496665980287,382.949517363606,0.024333240453145718,1.9599639869541254,0.1718459890609616,2.479864109035727,3.765403583683012,1.187494931920299,11.93964181816354,measured,EMB,315
intercept,-1.9259947207096944,0.03121235234223483,1.2481862567405768e-05,0.031225250266887813,0.17670667861427256,0.00041323141913700626,-10.899388386524357,169969181.31389037,0.0004130607294655795,382.8572552706034,382.8563928828069,1.1603706083454263e-27,1.9599639984971207,-2.27233344908767,-1.579655992331719,0.1457307233657073,0.10307138741871097,0.2060459674072165,measured,EMB,315
total_adherence,-1.440485833690666,0.918221913432711,4.1515868857459075e-05,0.9182648131638637,0.9582613490921272,4.6720439280663595e-05,-1.5032285660434979,13286932931.124311,4.67182565831936e-05,382.9975701028072,382.99755906285276,0.13278011358816783,1.9599639847185955,-3.3186435658590887,0.43767189847775656,0.23681267915172002,0.03620190396341426,1.5490965630893432,measured,EMB,315
EMB_midpoint,-0.12214845376992546,0.04874472551600388,8.955985083572542e-05,0.048837270695200795,0.22099156249775873,0.0018985680648982589,-0.5527290381105129,8075941.543677173,0.001894970334736798,380.2935308884186,380.275623829667,0.5804489815618525,1.9599642782855653,-0.5552840220680445,0.3109871145281936,0.8850169746435776,0.5739092351581963,1.3647716353464312,measured,"RIF,INH,EMB",315
HIV_High_CD4,0.2644767959698031,0.217354724928691,0.003537831775357992,0.22101048442989427,0.47011752193456297,0.016819323814573746,0.5625759169355453,105990.88443782242,0.01654111347085385,374.713122693302,373.3930537279706,0.5737248848704313,1.9599863666333135,-0.656947137737378,1.1859007296769843,1.3027491938098477,0.5184316213979331,3.2736341533255375,measured,"RIF,INH,EMB",315
