covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
F2,0.37827756538703305,0.06124325995298756,1.9457305370448288e-06,0.06124527054120917,0.24747781828117277,3.282954276366717e-05,1.528531195297882,26908955755.962776,3.282846502017092e-05,384.00281752760503,384.00281204771335,0.1263807043658703,1.959963984628213,-0.10677004543843116,0.8633251762124973,1.4597680677375762,0.8987323168259321,2.3710316984172914,0,measured,False,True,RIF,357,
HIV_High_CD4,0.39118872164579027,0.25253412223735305,0.013856770594209603,0.26685278518470296,0.5165779565416075,0.05669991374033813,0.7572694821604958,10072.48305561496,0.05365753607345419,363.4101026896536,350.7550380264236,0.44890614436050047,1.9601995323648695,-0.6214071471970686,1.4037845904886492,1.478737556866973,0.5371880029194167,4.070576316308621,0,measured,False,True,RIF,357,
HIV_Low_CD4,1.2985601774514224,0.22273347997868498,0.006475846887272159,0.2294251884288662,0.4789834949441016,0.03004356799355719,2.7110749976947894,34088.364890835524,0.029167278867708157,372.8147391984165,368.7814811597843,0.006709903907628653,1.9600335787854677,0.359736443676964,2.237383911225881,3.6640173331042676,1.432951701306684,9.368789614504427,0,measured,False,True,RIF,357,1.0
RIF_midpoint,-0.0018088698661371122,0.19930725441168637,5.2894103369138924e-05,0.19936191165183448,0.44649962111051616,0.0002742360799131324,-0.004051223742672307,385821992.21610624,0.00027416089510399355,383.9101421521017,383.909760144716,0.9967675999673752,1.9599639906886697,-0.8769320490988833,0.873314309366609,0.9981927651529651,0.4160573993223384,2.3948349387046357,0,measured,False,True,RIF,357,
total_adherence,-1.2387755032188037,0.22844605346780156,8.862623027834723e-05,0.22853763390575585,0.47805609911992114,0.0004008843075382784,-2.591276432827301,180595955.20446908,0.0004007236637098378,383.86154009683213,383.860724190581,0.009562065631214268,1.9599639976758476,-2.175748246363206,-0.30180276007440177,0.28973878502126854,0.1135231785780657,0.73948390625684,0,measured,False,True,RIF,357,1.0
F2,0.3769752315279516,0.06290028535150283,1.4590222718089636e-06,0.06290179300785036,0.25080229864945486,2.3968990587415644e-05,1.5030772586931032,50479997779.75197,2.3968416088676018e-05,384.00621992305355,384.0062170018811,0.1328191223803729,1.959963984587048,-0.11458824107662474,0.8685387041325279,1.457868199756282,0.8917332474444716,2.383425417804633,0,measured,False,True,INH,357,
HIV_High_CD4,0.3913069650834051,0.2513280776239759,0.013952098582923895,0.26574524615966394,0.5155048459128817,0.057363939087053575,0.7590752408747181,9853.012999535717,0.05425183985050842,363.1818808726256,350.27090177148045,0.44782570746626504,1.9602047796874058,-0.6191880978270452,1.4018020279938554,1.4789124182169269,0.5383813732029696,4.062514138897727,0,measured,False,True,INH,357,
HIV_Low_CD4,1.2981957136719433,0.22207132587071568,0.006424437277231271,0.228709911057188,0.47823625025418975,0.029893932323064216,2.7145489556300526,34420.47845786771,0.029026224337135795,372.8689063138046,368.87299238691463,0.006639915502779625,1.960032907266852,0.36083692572582593,2.2355545016180605,3.662682174822164,1.434529506945014,9.351665928663413,0,measured,False,True,INH,357,1.0
INH_midpoint,0.01618953626608798,0.2585298827414076,4.18957152315059e-05,0.25857317498048016,0.5085009095178495,0.00016745545471762277,0.03183777248587141,1034534165.7672129,0.00016742741808319545,383.9511294535524,383.9509869561657,0.9746014238131466,1.9599639868331353,-0.9804539336607918,1.0128330061929678,1.0163212968958462,0.3751407711720204,2.753390348100595,0,measured,False,True,INH,357,
total_adherence,-1.2388669461714836,0.22443030781955414,0.00010343182721523264,0.22453718737434322,0.4738535505558054,0.0004762260312676074,-2.6144511204323733,127992724.06211366,0.00047599934798722937,383.832633073005,383.8314820150095,0.008937095776733937,1.9599640030744765,-2.167602847989894,-0.31013104435307337,0.2897122916625942,0.11445164632858609,0.733350848439726,0,measured,False,True,INH,357,1.0
