covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,include_drugs,num_pids,significant
F2,0.24398006063795488,0.0543322905185396,1.2947682204427382e-06,0.05433362844570072,0.2330957495230248,2.4624898901834942e-05,1.0466945928323543,47826706414.61753,2.4624292531120834e-05,383.0060324326983,383.00602936550774,0.29524045839569724,1.9599639845896553,-0.21287921338810503,0.7008393346640148,1.2763188812514765,0.8082537575536811,2.015443629448056,0,predicted,INH,362,
HIV_High_CD4,0.06133229655746865,0.1899768812382707,0.003465478324290459,0.19355787550670417,0.4399521286534527,0.018849631834634447,0.13940675033255648,84725.16813938502,0.01850089674242907,375.9293343688341,374.2686875777327,0.8891290698063328,1.959991984538122,-0.8009703491837832,0.9236349422987205,1.063252170526999,0.4488931695942647,2.518428113201611,0,predicted,INH,362,
HIV_Low_CD4,0.7932249642110953,0.2065100614553238,0.002900825446910441,0.20950758108379794,0.4577199810842847,0.014515126320480048,1.7329917787989917,141668.5379424927,0.014307451849559503,377.53548860988906,376.53206034385505,0.08309930607817456,1.9599807299034784,-0.10389737840588731,1.690347306828078,2.2105137712963856,0.9013177873435313,5.421363254676969,0,predicted,INH,362,
INH_pred_MIC_resistant,-16.357083548504363,5348557.20017855,3.538459858082761e-05,5348557.200215113,2312.6947918424326,6.836252064195542e-12,-0.007072737659202026,6.205286858090497e+23,6.836252064148806e-12,383.0154639149074,383.0154639149074,0.9943568188678757,1.9599639845400538,-4549.155582793029,4516.44141569602,7.87424412082713e-08,0.0,inf,0,predicted,INH,362,
diabetes,0.7747752831930814,0.2513535068395702,1.4023170860275259e-06,0.25135495590055906,0.5013531249534195,5.765031915070885e-06,1.5453684132617411,872568585994.7789,5.7649986796695065e-06,383.013255833882,383.01325566575866,0.12225717606269945,1.9599639845427725,-0.20785878525359325,1.757409351639756,2.1701044134522878,0.812321740421395,5.797398901132575,0,predicted,INH,362,
total_adherence,-1.7135806433434768,0.777967074634524,0.00047044434631442005,0.7784532004590489,0.8822999492570817,0.0006248668361103516,-1.9421747046300457,74364494.36868513,0.0006244766213797251,382.77627971468235,382.7743094609021,0.05211595800304936,1.959964016440644,-3.442856795594763,0.01569550890780924,0.18021933477888913,0.03197321379601369,1.0158193303731853,0,predicted,INH,362,
F2,0.2579347490682439,0.05363170157458315,3.3921728176267903e-07,0.05363205209910764,0.23158594970141785,6.5357710868196735e-06,1.1137754660884969,678906566450.6829,6.535728370795156e-06,383.0129606324918,383.01296041641064,0.26537552461574787,1.9599639845435481,-0.19596537167284878,0.7118348698093365,1.2942543645656974,0.822040700079623,2.03772679386204,0,measured,INH,361,
HIV_High_CD4,0.1072631483364844,0.17573000661721933,0.0028618734538507634,0.1786872758528651,0.42271417749215023,0.01682848190000588,0.2537486416302568,105877.46219295615,0.01654997101237845,376.67656909239804,375.341230635409,0.799690245708241,1.9599863906106147,-0.7212508866662899,0.9357771833392587,1.113227159814094,0.48614376470934384,2.5491938790754483,0,measured,INH,361,
HIV_Low_CD4,0.7998506203182514,0.20664086753611224,0.002983776454988248,0.20972410320626675,0.457956442477084,0.014920744898710326,1.7465648392058064,134177.97907709962,0.014701389220494677,377.3846045050059,376.3261618252001,0.08071513889164955,1.9599816647308144,-0.09773561018218513,1.697436850818688,2.2252085027262964,0.9068886441834741,5.459934813786961,0,measured,INH,361,
INH_lower_bound_resistant,-14.234911448986562,5558736.70428263,0.0033741946769919808,5558736.707769298,2357.697331671158,6.27241047449769e-10,-0.006037633099790941,7.3710448829811294e+19,6.272410470563376e-10,383.01546367728275,383.01546367728275,0.9951826950334494,1.9599639845400538,-4635.236767970641,4606.766945072669,6.574405804045595e-07,0.0,inf,0,measured,INH,361,
diabetes,0.9123033388515139,0.24938008477179982,3.0313032839426425e-06,0.24938321711852657,0.49938283622740437,1.2560532769114448e-05,1.8268616233259518,183820010260.70306,1.2560375004112617e-05,383.0106530996666,383.0106523016188,0.0677205776569021,1.9599639845529593,-0.06646903465810738,1.8910757123611353,2.4900513651832834,0.9356918894270024,6.6264930489545,0,measured,INH,361,
total_adherence,-1.7233271984302825,0.7969452454581184,0.00036591056774211466,0.7973233530447853,0.8929296461898806,0.0004744461289175511,-1.9299697414949741,128954405.55781777,0.00047422113653507105,382.8338298889163,382.8326933530564,0.05361058922962269,1.9599640029362555,-3.4734371621170554,0.02678276525649026,0.17847134936036213,0.03101025998126178,1.0271446470218337,0,measured,INH,361,
