covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
HIV_High_CD4,0.20329728407368158,0.21971859612248665,0.011349253382088106,0.23144615795064435,0.48108851363407584,0.053375372112881785,0.4225777134814592,11294.902517748182,0.0506707993427076,363.60776420020676,352.267498335246,0.6726114338480775,1.9601740369188123,-0.7397199298116959,1.1463144979590592,1.225436716921397,0.4772475596191872,3.146574805699056,0,measured,False,False,RIF,357,
HIV_Low_CD4,1.102848839275653,0.2134411917486558,0.007509869945369666,0.22120139069220446,0.47032051910607137,0.03635755066757177,2.344887782850332,23562.859502402964,0.03508205314290612,369.57849505781627,363.8712510225996,0.019041060424624952,1.9600646680339469,0.18099020712445768,2.0247074714268485,3.0127366124240775,1.1984034434199649,7.57389503983571,0,measured,False,False,RIF,357,1.0
RIF_midpoint,0.20633171553075347,0.1519625457688158,6.98000947754143e-06,0.15196975844527594,0.3898329878874746,4.746351427343787e-05,0.5292823386981073,12874175981.866024,4.746126159517071e-05,382.9972855203978,382.99727412651,0.5966096054144792,1.9599639847243198,-0.5577269007861687,0.9703903318476756,1.229160868127064,0.5725089555544806,2.638974334072413,0,measured,False,False,RIF,357,
bl_prevtb,0.5831742055592584,0.12572403027561505,6.19179459677357e-05,0.12578801215311505,0.3546660572328779,0.0005089073056259098,1.6442909990011796,112088884.17277145,0.0005086484507133464,382.82064369520486,382.81933624044876,0.1001161105032198,1.959964005704251,-0.11195850066222623,1.278306911780743,1.7917166910811173,0.8940813605148539,3.590555449282666,0,measured,False,False,RIF,357,
diabetes,0.9729255453423052,0.3955224024616104,9.541651530603335e-05,0.39562099952742663,0.6289841011722209,0.00024928313845839454,1.5468205691194576,466905175.4875647,0.0002492210118623877,382.9200084160493,382.91969437452593,0.12190651950388279,1.9599639896208954,-0.25986064299931366,2.2057117336839243,2.6456731853372326,0.7711590447273411,9.076709469299301,0,measured,False,False,RIF,357,
total_adherence,-0.9961861885539857,0.2353881918027282,0.00017756975297750674,0.23557168054747163,0.4853572710359572,0.0007795155030427358,-2.0524801996428406,47799714.09188743,0.000778908331922553,382.7171299814253,382.71406571144763,0.04012302284026321,1.9599640341694573,-1.947468983507099,-0.044903393600872255,0.3692851428316304,0.14263462569993793,0.9560898417686036,0,measured,False,False,RIF,357,1.0
HIV_High_CD4,0.1794541761906771,0.22023126604732018,0.011633559101315276,0.23225261045201265,0.4819259387623918,0.05458509420778372,0.37236878482101166,10824.631650142888,0.05175978165023151,363.1906671364925,351.40039580805694,0.7096255815237136,1.9601831635455451,-0.7652089350472446,1.124117287428599,1.1965640716873125,0.46523671656356314,3.077499102453803,0,measured,False,False,INH,357,
HIV_Low_CD4,1.0940018186979306,0.2129839112901227,0.007385916561176305,0.22061602507000488,0.4696978018577529,0.03583422679042578,2.3291610358211705,24231.61925188043,0.03459455756879127,369.76521340129364,364.2075459767364,0.019858712892154046,1.9600618891699497,0.17336505784965073,2.0146385795462103,2.986200425794835,1.189300189215966,7.498016954740379,0,measured,False,False,INH,357,1.0
INH_midpoint,-0.04964250444858641,0.22240429794318803,0.00016377913123171318,0.22257353637879415,0.4717769985690211,0.0007609494833114003,-0.10522451200283282,50158789.37744521,0.000760370879483532,382.724230112371,382.7213098521239,0.9161976613449513,1.95996403183528,-0.9743084526910721,0.8750234437938993,0.9515695455806108,0.3774532901348045,2.3989315333643098,0,measured,False,False,INH,357,
bl_prevtb,0.5876431564900524,0.1277297774567912,0.00010100910908428868,0.1278341535361783,0.3575390237948556,0.0008171632446663188,1.643577672313675,43500058.26418697,0.0008164960341178217,382.70273331023134,382.6993664160384,0.10026347633505367,1.959964039074953,-0.11312047271382852,1.2884067856939332,1.7997417033925913,0.8930430663133224,3.627003356402573,0,measured,False,False,INH,357,
