covariate,coef,pval
screen_sex,-0.10502198029876171,0.511808803612938
screen_years,-0.019922390296607206,0.002215479260481165
bl_bmi,0.0012171078007889439,0.9542210673641515
fstrom1_baseline,0.015105090895208834,0.9258712645678735
HIV_High_CD4,-0.018435936957280977,0.9223468839742299
HIV_Low_CD4,-0.07071307740334849,0.8087857179141802
bl_prevtb,-0.13442535159022231,0.3675986953817315
diabetes,0.2352603937457288,0.4313445926853239
adherence_12week,-0.22048213224435909,0.4205319106273706
RIF_AUC,0.3565102068895161,0.18143330448303865
INH_AUC,0.005533005333189827,0.5961671781977189
EMB_AUC,-0.006117172841829748,0.7015065316275753
PZA_AUC,-0.0006707171646822674,0.5574662650824509
F2,-0.07216691114660691,0.6072446992638134
