covariate,pval
screen_sex,0.3779182707406139
screen_years,0.7614573090392122
bl_bmi,0.5973368387432317
fstrom1_baseline,0.7055138247237907
HIV_CD4,0.45585825685018144
bl_prevtb,0.39540872852572817
smear_pos_no_contam_sputum_specimen_1,0.6218896374758986
diabetes,0.690092198751262
total_adherence,0.010796079727949244
high_lung_involvement,0.6378383686062745
RIF_AUC,0.15016450385556893
INH_AUC,0.2755311247499783
EMB_AUC,0.8657501255800122
PZA_AUC,0.27788539071968843
cxr_cavity_chest_radiograph_1,0.8971367590987118
F2,0.20383176012795057
delayed_TCC,0.6772645981411762
