imp,AIC_no_INH_MIC,AIC_measured_INH_MIC,AIC_measured_INH_binary,AIC_predicted_INH_MIC,AIC_predicted_INH_binary
1,386.52615350396235,387.93633128849433,387.5320694275289,385.4428735414013,384.89452861815164
2,386.52615350396235,387.93633128849433,387.5320694275289,385.4428735414013,384.89452861815164
3,386.52615350396235,387.93633128849433,387.5320694275289,385.4428735414013,384.89452861815164
4,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
5,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
6,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
7,386.62938414344194,388.0592969351938,387.63199838428665,385.5481819830523,384.99617424039104
8,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
9,385.08929482929085,386.5311649988157,386.1472072282188,384.1077201007989,383.5420054635613
10,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
11,386.52615350396235,387.93633128849433,387.5320694275289,385.4428735414013,384.89452861815164
12,385.1568793977447,386.57380543811803,386.2129064264717,384.17315945590286,383.61009937560186
13,385.0320099832799,386.45598611102787,386.0902380484562,384.0490165843314,383.4845164715776
14,386.71306050142346,388.1379412681007,387.71302356101626,385.62898439762625,385.07823574620215
15,385.0320099832799,386.45598611102787,386.0902380484562,384.0490165843314,383.4845164715776
16,386.62938414344194,388.0592969351938,387.63199838428665,385.5481819830523,384.99617424039104
17,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
18,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
19,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
20,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
21,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
22,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
23,385.08929482929085,386.5311649988157,386.1472072282188,384.1077201007989,383.5420054635613
24,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
25,386.52615350396235,387.93633128849433,387.5320694275289,385.4428735414013,384.89452861815164
26,386.537650635131,387.95402192659856,387.5433335842939,385.4552933662086,384.90589878011895
27,384.808484977319,386.2299426490509,385.87143650183054,383.82045046454067,383.25918863518405
28,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
29,386.537650635131,387.95402192659856,387.5433335842939,385.4552933662086,384.90589878011895
30,386.4354160763595,387.85084161099365,387.4439080505626,385.354235041529,384.8047627988708
