Sample,FASTQ prefix
TB_R29153_GC_S25_L001,TB_R29153_GC
TB_R31038_GCRpt_S4_L001,TB_R31038_GCRpt
TB_R35991_WGS_S42_L001,TB_R35991
TB_R36431c_S5_L001,TB_R36431c
TB_R37020_WGS_S52_L001,TB_R37020
TB_R37761c_S50_L001,TB_R37761c
TB_R37762_WGS_S43_L001,TB_R37762
TB_R37765GC_S17_L001,TB_R37765GC
TB_R37769_GC_3_S23_L001,TB_R37769_GC_3
TB_R38565_S8_L001,TB_R38565
TB_R38569_S21_L001,TB_R38569
TB_R38634_WGS_S51_L001,TB_R38634
TB_R39467GC_S6_L001,TB_R39467GC
TB_R39661c_S8_L001,TB_R39661c
TB_R40496_WGS_S35_L001,TB_R40496
TB_R41483GC_S49_L001,TB_R41483GC
TB_R42385_S4_L001,TB_R42385
TB_R42473_WGS_S36_L001,TB_R42473
TB_R42475_WGS_S37_L001,TB_R42475
TB_R42658_WGS_S38_L001,TB_R42658
TB_R43687_WGS_S32_L001,TB_R43687
TB_R44933_WGS_S39_L001,TB_R44933
TB_R45555_S24_L001,TB_R45555
TB_R45699_S21_L001,TB_R45699
TB_R47433_WGS_S55_L001,TB_R47433
TB_R47436_WGS_S56_L001,TB_R47436
TB_R47564_WGS_S29_L001,TB_R47564
TB_R47591_GCB1_S22_L001,TB_R47591_GCB1
TB_R47661_GCB1_S18_L001,TB_R47661_GCB1
TB_R47732_WGS_S57_L001,TB_R47732
TB_R48400_WGS_S48_L001,TB_R48400
TB_R48864_S16_L001,TB_R48864
TB_R49377_S11_L001,TB_R49377
TB_R49477_WGS_S30_L001,TB_R49477
TB_R50530_WGS_S58_L001,TB_R50530_
TB_R50539_WGS_S44_L001,TB_R50539
TB_R50912_WGS_S40_L001,TB_R50912
TB_R51042_GCB1_S16_L001,TB_R51042_GCB1
TB_R52719_WGS_S33_L001,TB_R52719
TB_R52901_WGS_S49_L001,TB_R52901
TB_R54261_WGS_S31_L001,TB_R54261
TB_R56325_S2_L001,TB_R56325
TB_TM2152_S7_L001,TB_TM2152
TB_TM2379_WGS_S54_L001,TB_TM2379
TB_TM2857_WGS_S46_L001,TB_TM2857
TB_TM2993_WGS_S41_L001,TB_TM2993
TB_TM946_S22_L001,TB_TM946
