ROLLINGDB_ID,DB_OF_ORIGIN,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
20542,MICML,4.1.1,4.1.i1.2.1,"xtype,pinipedii",,4,0.0273866174613965,4
21849,MICML,4.3.4.2.1,4.2.1.2.1.1.i3.1,"lam,beijing",,4.3/LAM,0.0125771515080936,4
23768,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0158283283283283,4
24304,MICML,4.1.1.1,4.1.i1.2.1,"xtype,lam",,4,0.1815364889411262,4
26243,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0135809539392947,4
30571,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0213112774692103,2
23886,MICML,2.2.1.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,pacific_RD150",,0.0249332146037399,2
22755,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0113260371595825,2
21839,MICML,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0151100690373843,4
29846,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0101529366405346,4
25496,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.010865584177756,2
21363,MICML,4.1.1.3,4.1.i1.2.1,xtype,,4,0.011774193548387,4
29598,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0104631481766425,2
30544,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0132321463319712,2
22598,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0120439745115888,2
29834,MICML,2.2.1,2.2.1.1.1.i2,"beijing,mungi",lin2.2.1,,0.0159533073929961,2
26228,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0147422716341964,2
28581,MICML,2.2.1.1,2.2.1.1.1,beijing,"lin2.2.1,pacific_RD150",,0.0140383382028076,2
26927,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0090604026845637,4
27186,MICML,2.2.1.1,2.2.1.1.1,"beijing,canetti","lin2.2.1,pacific_RD150",,0.0139425731639977,2
23571,MICML,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0092786921462498,4
26936,MICML,4.3.2.1,4.2.1.2.1.1.i1,"lam,orygis",,4.3/LAM,0.0098945308252691,4
26987,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0098195329087048,4
27273,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0099754031156053,2
29784,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0068000625293106,4
30609,MICML,4.3.2.1,4.2.1.2.1.1.i1,"lam,beijing",,4.3/LAM,0.0690394365238694,4
23880,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0110622868205143,2
30875,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0187405424281224,2
29779,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0067980965329707,2
29707,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0141297366730892,2
29366,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0132646244870693,4
EC023-34,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0088849989391046,2
EC024-35,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0110801264175497,2
EC026-90,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0099900431463657,2
EC051-113,MICML,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0215634865428861,4
EC054-162,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0103077509207128,4
EC055-163,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.009465961978386,2
EC058-166,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0102305388619781,2
EC066-174,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0159786347999275,2
EC068-176,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.009786651008025,4
EC073-181,MICML,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0166536679359544,4
EC076-184,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0171535326086956,4
EC080-188,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0087176602924634,2
EC085-204,MICML,2.2.1.1,2.2.1.1.1,"beijing,orygis,mungi","lin2.2.1,pacific_RD150",,0.0189338671914763,2
EC086-205,MICML,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0105607241639426,3
EC088-207,MICML,4.3.2,4.2.1.2.1.1.i1,"lam,pinipedii",,4.3/LAM,0.016770520809293,4
EC090-209,MICML,4.3.4.1,4.2.1.2.1.1.i3.2,"lam,beijing",,4.3/LAM,0.0189562368359466,4
EC113A-275,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0189978213507625,4
EC305-394,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0288478503793448,4
EC311-397,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0081282405415808,4
EC317-399,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0090426027780367,4
EC347-424,MICML,1.2.2,1.2.2.2,"indo_oceanic,ghana,canetti,orygis,mungi",,,0.0237430167597765,1
EC365-430,MICML,4.3.2.1,4.2.1.2.1.1.i1,"lam,canetti",,4.3/LAM,0.0108710609605063,4
EC367-431,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0091549611811695,4
EC379-455,MICML,4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,0.0082244254168544,4
EC383A-460,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,0.0223954466716159,2
EC504-305,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0111298482293423,4
EC531B-386,MICML,4.1.1,4.1.i1.2.1,"xtype,canetti",,4,0.0291882031012465,4
EC548B-327,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0103395325029858,2
EC561-336,MICML,3,3.1.1,"east_african_indian,westafrican2,ghana",,,0.0263283108643933,3
EC567A-341,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0137983112514587,2
FS002-67,MICML,4.1.1.1,4.1.i1.2.1,"xtype,beijing",,,0.0225598526703499,4
FS010-2-160,MICML,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0206121945198716,4
FS014-11,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,0.0131281323457666,2
FS018-70,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0220826941600371,4
FS019-71,MICML,4.3.3,4.2.1.2.1.1.i4.1,"lam,beijing",,4.3/LAM,0.0121455641294918,4
