Drug,Addl_Data,Binned_MAE,Binned_MAE_exp,Without_doubling,Within_doubling_perc,Doubling_Error
Bedaquiline,- Lineage,0.4304989000193995,1.3477945970895644,0.0859030837004405,91.40969162995594,0.6738972985447822
Bedaquiline,+ Lineage,0.42512808030048455,1.3427785120092828,0.08920704845814986,91.07929515418502,0.6713892560046414
Ethambutol,- Lineage,0.340002907478314,1.2657959372223693,0.11045081967213118,88.95491803278688,0.6328979686111846
Ethambutol,+ Lineage,0.3370640018940397,1.2632309929547174,0.10911885245901635,89.08811475409837,0.6316154964773587
Ethionamide,- Lineage,0.39749361077794165,1.3172440173857454,0.12162162162162163,87.83783783783784,0.6586220086928727
Ethionamide,+ Lineage,0.36996144602930564,1.2923691720095054,0.11640926640926641,88.35907335907336,0.6461845860047527
Isoniazid,- Lineage,0.4488704644653785,1.3651061944274212,0.11326013513513514,88.67398648648648,0.6825530972137106
Isoniazid,+ Lineage,0.4406758486396856,1.3574115174780659,0.11283783783783782,88.71621621621621,0.6787057587390329
Levofloxacin,- Lineage,0.23786074812211214,1.1792441566676168,0.08669022379269731,91.33097762073027,0.5896220783338084
Levofloxacin,+ Lineage,0.24073853459884037,1.1816036202922775,0.0865724381625442,91.34275618374558,0.5908018101461388
Moxifloxacin,- Lineage,0.5678383982616929,1.4827895423302546,0.19196525515743754,80.80347448425624,0.7413947711651273
Moxifloxacin,+ Lineage,0.47144581262950797,1.3865501401093205,0.14104234527687293,85.8957654723127,0.6932750700546603
Pyrazinamide,- Lineage,0.7463481270509251,1.6789049904627906,0.2306010928961749,76.93989071038251,0.8394524952313953
Pyrazinamide,+ Lineage,0.8096107407249404,1.753326405109675,0.2557377049180328,74.42622950819671,0.8766632025548375
Rifampicin,- Lineage,0.39342293718946975,1.3135586610154815,0.10526315789473686,89.47368421052632,0.6567793305077407
Rifampicin,+ Lineage,0.3982549245949496,1.3179513275362207,0.10758251561106155,89.24174843889384,0.6589756637681103
