Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,AUC,CV,Addl_Data,Model,Drug,Lineage,AA,Tier_2
0.8152753108348135,0.961044710048694,0.8391224862888482,0.9319631467044648,0.8881600104417537,0.8270270270270271,0.9419197101469786,0,"– Lineage
– AA Properties",Binary CNN,Pyrazinamide,0.0,0.0,0
0.8117229129662522,0.9601593625498008,0.8354661791590493,0.930545712260808,0.8859411377580265,0.8234234234234233,0.935591362593832,1,"– Lineage
– AA Properties",Binary CNN,Pyrazinamide,0.0,0.0,0
0.7850799289520426,0.963700752545374,0.8435114503816794,0.9280652019844082,0.8743903407487084,0.813247470101196,0.9305379626156908,2,"– Lineage
– AA Properties",Binary CNN,Pyrazinamide,0.0,0.0,0
0.8117229129662522,0.958388667552014,0.8294010889292196,0.9291282778171508,0.8850557902591332,0.8204667863554758,0.9355107692380272,3,"– Lineage
– AA Properties",Binary CNN,Pyrazinamide,0.0,0.0,0
0.8472468916518651,0.932713590084108,0.7583465818759937,0.9156626506024096,0.8899802408679865,0.8003355704697986,0.9349265656930202,4,"– Lineage
– AA Properties",Binary CNN,Pyrazinamide,0.0,0.0,0
0.8312611012433393,0.9575033200531208,0.8297872340425532,0.9323175053153792,0.8943822106482301,0.8305235137533274,0.9395982283614702,0,– Lineage,Binary CNN,Pyrazinamide,0.0,1.0,0
0.8365896980461812,0.9375830013280212,0.7696078431372549,0.9174344436569808,0.8870863496871013,0.8017021276595745,0.9353566590161948,1,– Lineage,Binary CNN,Pyrazinamide,0.0,1.0,0
0.8206039076376554,0.9606020362992476,0.838475499092559,0.9326718639262934,0.8906029719684514,0.829443447037702,0.942222033515828,2,– Lineage,Binary CNN,Pyrazinamide,0.0,1.0,0
0.8152753108348135,0.9592740150509076,0.8330308529945554,0.930545712260808,0.8872746629428605,0.8240574506283662,0.9366009418021618,3,– Lineage,Binary CNN,Pyrazinamide,0.0,1.0,0
0.8188277087033747,0.9601593625498008,0.8366606170598911,0.9319631467044648,0.8894935356265878,0.8276481149012568,0.935406587582962,4,– Lineage,Binary CNN,Pyrazinamide,0.0,1.0,0
0.8152753108348135,0.9428950863213812,0.7806122448979592,0.9174344436569808,0.8790851985780974,0.7975673327541268,0.9338249921175767,0,"+ Lineage
– AA Properties",Binary CNN,Pyrazinamide,1.0,0.0,0
0.8312611012433393,0.9282868525896414,0.7428571428571429,0.9089298369950388,0.8797739769164903,0.7845766974015089,0.9331963639422968,1,"+ Lineage
– AA Properties",Binary CNN,Pyrazinamide,1.0,0.0,0
0.8046181172291297,0.959716688800354,0.8327205882352942,0.9287739192062368,0.882167403014742,0.8184281842818428,0.9330017604734016,2,"+ Lineage
– AA Properties",Binary CNN,Pyrazinamide,1.0,0.0,0
0.8259325044404974,0.936697653829128,0.7648026315789473,0.9145995747696668,0.8813150791348127,0.7941929974380871,0.9324104804386166,3,"+ Lineage
– AA Properties",Binary CNN,Pyrazinamide,1.0,0.0,0
0.827708703374778,0.940681717574148,0.7766666666666666,0.9181431608788092,0.8841952104744629,0.8013757523645743,0.936108339485948,4,"+ Lineage
– AA Properties",Binary CNN,Pyrazinamide,1.0,0.0,0
0.8188277087033747,0.9592740150509076,0.833634719710669,0.9312544294826364,0.8890508618771411,0.8261648745519713,0.9376746025568145,0,+ Lineage,Binary CNN,Pyrazinamide,1.0,1.0,0
0.8348134991119005,0.9411243913235944,0.7794361525704809,0.9199149539333806,0.8879689452177475,0.8061749571183533,0.938740007406726,1,+ Lineage,Binary CNN,Pyrazinamide,1.0,1.0,0
0.8525754884547069,0.9243027888446216,0.7373271889400922,0.9099929128277816,0.8884391386496642,0.7907742998352553,0.9377634518173604,2,+ Lineage,Binary CNN,Pyrazinamide,1.0,1.0,0
0.8241563055062167,0.9513058875608676,0.8083623693379791,0.9259390503189228,0.8877310965335421,0.8161829375549692,0.9370597342227694,3,+ Lineage,Binary CNN,Pyrazinamide,1.0,1.0,0
0.8365896980461812,0.9446657813191678,0.790268456375839,0.9231041814316088,0.8906277396826745,0.8127696289905091,0.9385450107995096,4,+ Lineage,Binary CNN,Pyrazinamide,1.0,1.0,0
0.8063943161634103,0.9420097388224878,0.7760683760683761,0.9149539333805812,0.8742020274929491,0.7909407665505227,0.9159741535142244,0,"– Lineage
– AA Properties",LogReg,Pyrazinamide,0.0,0.0,0
0.8170515097690941,0.8565737051792829,0.5867346938775511,0.8486888731396173,0.8368126074741885,0.6829992576095028,0.8896971812768661,1,"– Lineage
– AA Properties",LogReg,Pyrazinamide,0.0,0.0,0
0.7744227353463587,0.940681717574148,0.7649122807017544,0.907512402551382,0.8575522264602533,0.7696381288614298,0.8962920766116509,2,"– Lineage
– AA Properties",LogReg,Pyrazinamide,0.0,0.0,0
0.7460035523978685,0.9619300575475874,0.8300395256916996,0.9188518781006378,0.853966804972728,0.7857811038353603,0.9068277904761456,3,"– Lineage
– AA Properties",LogReg,Pyrazinamide,0.0,0.0,0
0.8028419182948491,0.938025675077468,0.7635135135135135,0.9110559886605244,0.8704337966861585,0.7826839826839826,0.9116441280467238,4,"– Lineage
– AA Properties",LogReg,Pyrazinamide,0.0,0.0,0
0.7548845470692718,0.959716688800354,0.8236434108527132,0.9188518781006378,0.8573006179348129,0.7877664504170528,0.9159949898452372,0,– Lineage,LogReg,Pyrazinamide,0.0,1.0,0
0.7957371225577264,0.9446657813191678,0.7818499127399651,0.9149539333805812,0.8702014519384471,0.7887323943661971,0.921856289073035,1,– Lineage,LogReg,Pyrazinamide,0.0,1.0,0
0.7460035523978685,0.959716688800354,0.821917808219178,0.9170800850460666,0.8528601205991113,0.782122905027933,0.9085029528619292,2,– Lineage,LogReg,Pyrazinamide,0.0,1.0,0
0.7690941385435168,0.9504205400619744,0.7944954128440367,0.9142452161587526,0.8597573393027456,0.7815884476534296,0.9123336926617588,3,– Lineage,LogReg,Pyrazinamide,0.0,1.0,0
0.7761989342806395,0.9601593625498008,0.8292220113851992,0.923458540042523,0.8681791484152201,0.8018348623853212,0.9182150419439274,4,– Lineage,LogReg,Pyrazinamide,0.0,1.0,0
0.8010657193605684,0.8534749889331562,0.5767263427109974,0.8430191353649894,0.8272703541468622,0.670631970260223,0.8913503279166735,0,"+ Lineage
– AA Properties",LogReg,Pyrazinamide,1.0,0.0,0
0.8472468916518651,0.8198317839752103,0.5395927601809954,0.8253012048192772,0.8335393378135376,0.6592950932964754,0.8978339651066152,1,"+ Lineage
– AA Properties",LogReg,Pyrazinamide,1.0,0.0,0
0.7264653641207816,0.959716688800354,0.818,0.91318214032601,0.8430910264605678,0.7695202257761055,0.9019457988059604,2,"+ Lineage
– AA Properties",LogReg,Pyrazinamide,1.0,0.0,0
0.7548845470692718,0.9566179725542276,0.8126195028680688,0.916371367824238,0.8557512598117496,0.7826887661141806,0.909803061289478,3,"+ Lineage
– AA Properties",LogReg,Pyrazinamide,1.0,0.0,0
0.7211367673179396,0.9628154050464808,0.8285714285714286,0.9145995747696668,0.8419760861822102,0.7711301044634379,0.9027678510351724,4,"+ Lineage
– AA Properties",LogReg,Pyrazinamide,1.0,0.0,0
0.7726465364120781,0.9570606463036742,0.8176691729323309,0.9202693125442948,0.8648535913578761,0.7945205479452055,0.9196440997407648,0,+ Lineage,LogReg,Pyrazinamide,1.0,1.0,0
0.7229129662522202,0.9667994687915008,0.8443983402489627,0.9181431608788092,0.8448562175218605,0.7789473684210527,0.905144765323942,1,+ Lineage,LogReg,Pyrazinamide,1.0,1.0,0
0.7673179396092362,0.9486498450641876,0.7883211678832117,0.9124734231041814,0.857983892336712,0.7776777677767777,0.9152531378335091,2,+ Lineage,LogReg,Pyrazinamide,1.0,1.0,0
0.8845470692717584,0.8189464364763169,0.5490628445424476,0.8320340184266478,0.8517467528740377,0.6775510204081632,0.9141822290471036,3,+ Lineage,LogReg,Pyrazinamide,1.0,1.0,0
0.7673179396092362,0.9464364763169544,0.7811934900542495,0.9107016300496102,0.8568772079630953,0.7741935483870969,0.9094901231859616,4,+ Lineage,LogReg,Pyrazinamide,1.0,1.0,0
