Drug_abbr,Drug,DB,Binary_Phenotype,Num_Isolates
EMB,Ethambutol,CRyPTIC,S,5930
EMB,Ethambutol,CRyPTIC,R,1590
EMB,Ethambutol,MIC_ML,S,798
EMB,Ethambutol,MIC_ML,R,309
EMB,Ethambutol,WHO_catalog,S,148
EMB,Ethambutol,WHO_catalog,R,80
EMB,Ethambutol,farhat_internal,S,361
EMB,Ethambutol,farhat_internal,R,768
ETO,Ethionamide,CRyPTIC,S,7427
ETO,Ethionamide,CRyPTIC,R,1325
ETO,Ethionamide,WHO_catalog,S,178
ETO,Ethionamide,WHO_catalog,R,42
ETO,Ethionamide,farhat_internal,S,833
ETO,Ethionamide,farhat_internal,R,315
INH,Isoniazid,CRyPTIC,S,4767
INH,Isoniazid,CRyPTIC,R,4560
INH,Isoniazid,MIC_ML,S,385
INH,Isoniazid,MIC_ML,R,845
INH,Isoniazid,WHO_catalog,S,79
INH,Isoniazid,WHO_catalog,R,157
INH,Isoniazid,farhat_internal,S,222
INH,Isoniazid,farhat_internal,R,1054
LFX,Levofloxacin,CRyPTIC,S,6293
LFX,Levofloxacin,CRyPTIC,R,1452
LFX,Levofloxacin,WHO_catalog,S,41
LFX,Levofloxacin,WHO_catalog,R,13
LFX,Levofloxacin,farhat_internal,S,1
MXF,Moxifloxacin,CRyPTIC,S,5728
MXF,Moxifloxacin,CRyPTIC,R,1217
MXF,Moxifloxacin,MIC_ML,S,954
MXF,Moxifloxacin,MIC_ML,R,271
MXF,Moxifloxacin,farhat_internal,S,819
MXF,Moxifloxacin,farhat_internal,R,214
PZA,Pyrazinamide,WHO_catalog,S,50
PZA,Pyrazinamide,WHO_catalog,R,41
PZA,Pyrazinamide,farhat_internal,S,443
PZA,Pyrazinamide,farhat_internal,R,487
RIF,Rifampicin,CRyPTIC,S,4950
RIF,Rifampicin,CRyPTIC,R,3694
RIF,Rifampicin,MIC_ML,S,417
RIF,Rifampicin,MIC_ML,R,821
RIF,Rifampicin,WHO_catalog,S,87
RIF,Rifampicin,WHO_catalog,R,150
RIF,Rifampicin,farhat_internal,S,349
RIF,Rifampicin,farhat_internal,R,1074
