Locus,Start,End,Sense
atpE,1460996,1461290,+
pepQ,2859299,2860451,-
Rv0678,778905,779487,+
mmpLS5,775585,778989,-
fgd1,490705,491793,+
Rv2983,3338999,3339762,+
ndh,2101650,2103183,-
fbiC,1302855,1305501,+
ddn,3986732,3987299,+
fbiAB,3640141,3642881,+
aftB-ubiA,4266952,4273738,-
aftA-embCAB,4237929,4249810,+
fabG1-inhA,1673299,1675011,+
mshA,575300,576790,+
ahpC,2725570,2727339,+
kasA,2516548,2522164,+
katG-furA,2153888,2156705,-
gyrBA,4997,9818,+
rplC,800202,801462,+
rrl,1471486,1477013,+
Rv3236c,3611958,3613663,-
rpsA,1833492,1834987,+
pncA,2287883,2289281,-
panD,4043861,4046302,-
clpC1,4038157,4040759,-
sigE,1364150,1365186,+
Rv1258c,1406080,1407347,-
rpoBC,759478,767320,+
rpoA,3877463,3878507,-
rpoZ,1564977,1565425,+
nusG,734103,734970,+
Rv1129c,1253073,1254554,-
Rv2477c,2782365,2784122,-
Rv2752c,3064514,3067192,-
lpqB-mtrBA,3623158,3627418,-
Rv1979c,2221718,2224219,-
embR,1416180,1417657,-
Rv0565c,656009,657547,-
Rv3083,3448426,3449991,+
dnaA,0,1524,+
Rv0010c,13132,14088,-
hadA,731879,733325,+
tsnR,1852035,1854388,+
ethA,4326003,4327548,-
ethR,4327473,4328199,+
Rv1453,1638280,1639646,+
