position,Max,Min,Lineage,pred_log2_MIC,log2-MIC,MIC,MIC_pval,Max_pval,Min_pval,Bonferroni_MIC_pval,plot_score
107794,0.4498441,0.0,4.1.2.1,-3.0516772,-2.826195130112768,0.14100369459442538,2.117755164805097e-12,0.0,,1.1859428922908544e-10,0.449844092130661
346693,1.0591321,0.0,2.2.2,-2.4518907,-0.3688822394583303,0.7743822345234701,7.58946276043544e-43,0.0,,4.2500991458438466e-41,1.0591320991516113
403364,0.16289502,0.0,4.3.3,-3.3258247,-3.1588461583683007,0.11196764778295717,0.24138982447058505,0.0,,13.517830170352763,0.16289502382278442
497491,0.13404621,0.0,2,-3.354073,-2.5768389784851977,0.16760777987761522,3.3341139826791645e-13,0.0,,1.8671038303003322e-11,0.13404621183872223
514245,0.5411386,0.0,4.1.1,-2.9648385,-2.6844996509326755,0.15555539633781604,6.140530945718174e-06,0.0,,0.0003438697329602177,0.5411385893821716
615614,-0.0,-0.81612563,4.3.1,-4.285922,-4.124060623176262,0.05735008269840638,0.00373038233194117,,0.0,0.2089014105887055,-0.8161256313323975
764995,0.096865565,0.0,4.3,-3.3845472,-3.105710568299429,0.1161683875024444,0.8562493739134274,0.0,,47.94996493915193,0.09686556458473206
797736,-0.0,-0.33152673,2.2.1,-3.77143,-2.7473670345292107,0.1489224298030636,1.293208218253924e-05,,0.0,0.0007241966022221974,-0.3315267264842987
874787,-0.0,-0.36768493,4.6.1.1,-3.8304832,-3.2940884002701996,0.1019484396467155,0.5969352549811993,,0.0,33.42837427894716,-0.367684930562973
931123,-0.0,-0.52036774,4**,-3.9499202,-3.1123788464013447,0.11563268480063388,5.03218462134943e-07,,0.0,2.818023387955681e-05,-0.5203677415847778
1132368,0.118328445,0.0,4.3.4.2,-3.3690948,-2.8190954572177396,0.14169930062517624,0.015468226305065782,0.0,,0.8662206730836838,0.11832844465970993
1455780,-0.0,-0.9420961,4.2.2.1,-3.3480663,-4.473931188332412,0.045000000000000005,0.004861285206909283,,0.0,0.27223197158691986,-0.9420961141586304
1491275,0.6454744,0.0,1.1.3,-2.4042065,-3.5622779093765633,0.08465400244376803,0.19479213836800807,0.0,,10.908359748608452,0.645474374294281
1501468,1.0946091,0.0,4.6.1.2,-3.3731217,-1.503278640033308,0.35275082448852546,0.00012095472252197601,0.0,,0.006773464461230657,1.0946091413497925
1502120,0.10442297,0.0,4.3.4.2.1,-3.8653984,-3.073367766534978,0.11880209919744569,0.9316501907772718,0.0,,52.172410683527225,0.10442297160625458
1719757,-0.0,-0.42464808,4.5,-3.4594624,-3.458518916307207,0.09096662156398323,0.02249030729195894,,0.0,1.2594572083497007,-0.42464807629585266
1759252,0.02136926,0.0,4.9**,-3.4715724,-3.062520935107462,0.11969867311402141,0.4880502476184094,0.0,,27.330813866630926,0.02136925980448723
1850119,-0.0,-0.67097706,4.1.1.1,-3.6322322,-3.2297836417963737,0.10659534617164527,0.6251985188693522,,0.0,35.01111705668372,-0.6709770560264587
2505085,0.10170789,0.0,2.2,-3.3304698,-2.5722418699844294,0.16814270932504324,1.606959250630109e-13,0.0,,8.998971803528611e-12,0.10170789062976837
2622402,0.1599567,0.0,1.1.2,-4.2173758,-3.6707113687137998,0.07852460719412789,5.404333001303668e-05,0.0,,0.003026426480730054,0.159956693649292
2694560,-0.0,-0.7740196,4.4.1.2,-3.5274425,-3.945186314037391,0.06492030940796716,0.020137175969892944,,0.0,1.1276818543140048,-0.7740195989608765
3021283,-0.0,-0.7665667,1.1.1,-4.6378994,-4.76526744137783,0.03677151834053375,1.5464802679205713e-29,,0.0,8.660289500355198e-28,-0.7665666937828064
3273107,-0.0,-1.3415705,3,-3.8287137,-4.365255788508863,0.04852070124902286,3.0665228116706037e-80,,0.0,1.717252774535538e-78,-1.341570496559143
3466426,-0.0,-0.38154665,4.6,-3.9006317,-3.7628868576136174,0.07366448984967959,2.331013883595092e-06,,0.0,0.00013053677748132517,-0.38154664635658264
3479545,-0.0,-0.41342732,1.2.1,-3.6005142,-4.433936236614254,0.04626496030878307,9.712128012665976e-06,,0.0,0.0005438791687092947,-0.41342732310295105
3836739,0.2644514,0.0,4.8,-3.7055826,-2.952345415980139,0.12919790523380548,0.01050096753582255,0.0,,0.5880541820060627,0.26445141434669495
3977226,0.205966,0.0,4.3.4,-3.2323577,-2.869051411559503,0.1368766810553319,0.01190558895675063,0.0,,0.6667129815780353,0.20596599578857422
4125058,-0.0,-0.2340433,4.6.2,-3.447381,-4.027618441602711,0.06131490193286667,1.643715177240678e-09,,0.0,9.204804992547796e-08,-0.23404330015182495
4151558,0.24998513,0.0,4.4.1,-3.9128084,-3.151984274501202,0.1125014674930815,0.7411048156088836,0.0,,41.501869674097485,0.24998512864112854
4246508,-0.0,-0.44012612,4.4.2,-3.1572368,-3.6209341399634343,0.08128121961905015,0.051312435302319284,,0.0,2.87349637692988,-0.44012612104415894
4249732,0.33928472,0.0,4.7,-3.416638,-3.078957988370716,0.1183426500210667,0.8629842334253519,0.0,,48.32711707181971,0.3392847180366516
4260268,0.9225601,0.0,4.6.1,-3.221725,-2.1002152267789387,0.23322345211978388,0.0008521565664396319,0.0,,0.04772076772061939,0.9225600957870483
4316114,0.26530597,0.0,4.3.2,-3.8163042,-3.1224818462957957,0.11482575333034024,0.9874888022146701,0.0,,55.299372924021526,0.2653059661388397
4404247,-0.0,-0.36614156,1.1,-3.4763489,-4.223945541666783,0.05351378776523097,4.0754741089583776e-27,,0.0,2.2822655010166914e-25,-0.36614155769348145
