ROLLINGDB_ID,POS
ERR4828282,497491
ERR4828282,797736
ERR4828282,931123
ERR4828282,1759252
ERR4828282,2505085
Peru4072,62657
Peru4072,107794
Peru4072,891756
Peru4072,1759252
Peru4469,764995
Peru4469,1759252
Peru4469,4316114
ERR4829103,1487796
ERR4829103,1759252
ERR4829103,2411730
KOR-K2016-0002,497491
KOR-K2016-0002,797736
KOR-K2016-0002,931123
KOR-K2016-0002,1759252
KOR-K2016-0002,2505085
TRL0114583,62657
TRL0114583,891756
TRL0114583,1759252
IDR1900011778,497491
IDR1900011778,797736
IDR1900011778,931123
IDR1900011778,1759252
IDR1900011778,2505085
TRL0041018,764995
TRL0041018,1759252
TRL0041018,3388166
TRL0041018,4316114
ERR4831824,497491
ERR4831824,797736
ERR4831824,931123
ERR4831824,1759252
ERR4831824,2505085
ERR4796987,497491
ERR4796987,797736
ERR4796987,931123
ERR4796987,1759252
ERR4796987,2505085
ERR4796987,4248115
MNG-S2014-0002,497491
MNG-S2014-0002,797736
MNG-S2014-0002,931123
MNG-S2014-0002,1759252
MNG-S2014-0002,2505085
Peru4568,764995
Peru4568,1132368
Peru4568,1759252
Peru4568,3977226
ERR4830225,615938
ERR4830225,931123
ERR4830225,1759252
ERR4830225,3021283
ERR4830225,3216553
ERR4830225,4404247
ERR4797669,1759252
ERR4797669,3836739
ERR4810845,346693
ERR4810845,497491
ERR4810845,931123
ERR4810845,1759252
ERR4810845,2505085
ERR4810477,346693
ERR4810477,497491
ERR4810477,931123
ERR4810477,1759252
ERR4810477,2505085
ERR4812408,62657
ERR4812408,514245
ERR4812408,1759252
ERR4812896,764995
ERR4812896,1132368
ERR4812896,1759252
ERR4812896,3977226
ERR4831112,1759252
ERR4831112,3836739
ERR5917717,403364
ERR5917717,764995
ERR5917717,1759252
C242,62657
C242,891756
C242,1759252
ERR4796795,1487796
ERR4796795,1759252
ERR4796795,2411730
ERR5917695,497491
ERR5917695,797736
ERR5917695,931123
ERR5917695,1759252
ERR5917695,2505085
ERR4809338,931123
ERR4809338,1759252
ERR4809338,3273107
ERR4828624,497491
ERR4828624,797736
ERR4828624,931123
ERR4828624,1759252
ERR4828624,2505085
ERR4811297,497491
ERR4811297,797736
ERR4811297,931123
ERR4811297,1759252
ERR4811297,2505085
GA041-123,615938
GA041-123,931123
GA041-123,1759252
GA041-123,3470377
ERR4829631,1759252
ERR4810616,497491
ERR4810616,797736
ERR4810616,931123
ERR4810616,1759252
ERR4810616,2505085
ERR4828600,615938
ERR4828600,931123
ERR4828600,1759252
ERR4828600,3479545
ERR4811804,764995
ERR4811804,1132368
ERR4811804,1759252
ERR4811804,3977226
ERR2184208,62657
ERR2184208,514245
ERR2184208,1759252
ERR4830252,62657
ERR4830252,107794
ERR4830252,891756
ERR4830252,1759252
ERR4831386,615938
ERR4831386,931123
ERR4831386,1759252
ERR4831386,3479545
Peru3354,62657
Peru3354,107794
Peru3354,891756
Peru3354,1759252
ERR4828261,497491
ERR4828261,797736
ERR4828261,931123
ERR4828261,1759252
ERR4828261,2505085
ERR4828649,615938
ERR4828649,931123
ERR4828649,1759252
ERR4828649,3479545
Peru4484,497491
Peru4484,797736
Peru4484,931123
Peru4484,1759252
Peru4484,2505085
ERR4809164,497491
ERR4809164,797736
ERR4809164,931123
ERR4809164,1759252
ERR4809164,2505085
ERR4830805,1487796
ERR4830805,1759252
ERR4830805,2411730
M0014892-5,1759252
ERR4797083,497491
ERR4797083,797736
ERR4797083,931123
ERR4797083,1759252
ERR4797083,2505085
ERR4797083,4248115
ERR4796874,931123
ERR4796874,1759252
ERR4796874,3273107
ERR4828446,497491
ERR4828446,797736
ERR4828446,931123
ERR4828446,1759252
ERR4828446,2505085
ERR4811119,1719757
ERR4811119,1759252
ERR4809005,497491
ERR4809005,797736
ERR4809005,931123
ERR4809005,1759252
ERR4809005,2505085
ERR2510470,931123
ERR2510470,1759252
ERR2510470,3273107
ERR4830474,62657
ERR4830474,891756
ERR4830474,1759252
TRL0114849,62657
TRL0114849,107794
TRL0114849,891756
TRL0114849,1759252
ERR4797048,497491
ERR4797048,797736
ERR4797048,931123
ERR4797048,1759252
ERR4797048,2505085
ERR4811709,764995
ERR4811709,1759252
ERR4811709,4316114
ERR5917997,346693
ERR5917997,497491
ERR5917997,931123
ERR5917997,1759252
ERR5917997,2505085
ERR4828700,497491
ERR4828700,797736
ERR4828700,931123
ERR4828700,1759252
ERR4828700,2505085
ERR4828700,4248115
C459,931123
C459,1237818
C459,1759252
C459,3273107
C459,3722702
ERR4828723,62657
ERR4828723,107794
ERR4828723,891756
ERR4828723,1759252
ERR4830170,497491
ERR4830170,797736
ERR4830170,931123
ERR4830170,1759252
ERR4830170,2505085
ERR4828576,1487796
ERR4828576,1759252
ERR4828576,2411730
Peru5088,497491
Peru5088,797736
Peru5088,931123
Peru5088,1759252
Peru5088,2505085
ERR4809314,355181
ERR4809314,1759252
ERR4809314,4151558
ERR4809314,4307886
ERR2510704,1759252
ERR2510704,3836739
ERR4797220,615938
ERR4797220,931123
ERR4797220,1491275
ERR4797220,1759252
ERR4797220,4404247
ERR4829422,62657
ERR4829422,514245
ERR4829422,1759252
ERR4829422,4229087
ERR4832036,497491
ERR4832036,797736
ERR4832036,931123
ERR4832036,1759252
ERR4832036,2505085
ERR4832036,4248115
ERR4797833,931123
ERR4797833,1759252
ERR4797833,3273107
ERR4812749,403364
ERR4812749,764995
ERR4812749,1759252
ERR4810595,497491
ERR4810595,797736
ERR4810595,931123
ERR4810595,1759252
ERR4810595,2505085
ERR4812710,62657
ERR4812710,107794
ERR4812710,891756
ERR4812710,1759252
ERR4828204,615938
ERR4828204,931123
ERR4828204,1759252
ERR4828204,3021283
ERR4828204,4404247
ERR4822641,783601
ERR4822641,1759252
ERR4822641,2411730
SAMEA3558151,1759252
SAMEA3558151,4249732
ERR4812261,764995
ERR4812261,1759252
ERR4812261,4316114
ERR3287515,62657
ERR3287515,107794
ERR3287515,891756
ERR3287515,1759252
ERR4812159,62657
ERR4812159,107794
ERR4812159,891756
ERR4812159,1759252
Peru4075,62657
Peru4075,107794
Peru4075,891756
Peru4075,1759252
C310,62657
C310,514245
C310,1759252
C310,4229087
ERR4796991,1759252
ERR4796991,4249732
ERR4828270,497491
ERR4828270,797736
ERR4828270,931123
ERR4828270,1759252
ERR4828270,2505085
ERR4811025,497491
ERR4811025,797736
ERR4811025,931123
ERR4811025,1759252
ERR4811025,2505085
ERR4797142,615938
ERR4797142,931123
ERR4797142,1759252
ERR4797142,3470377
ERR4829755,62657
ERR4829755,107794
ERR4829755,891756
ERR4829755,1759252
ERR4811013,497491
ERR4811013,797736
ERR4811013,931123
ERR4811013,1759252
ERR4811013,2505085
ERR4830055,1759252
ERR4828675,615938
ERR4828675,931123
ERR4828675,1759252
ERR4828675,3021283
ERR4828675,3216553
ERR4828675,4404247
ERR4811470,1719757
ERR4811470,1759252
ERR4812414,497491
ERR4812414,797736
ERR4812414,931123
ERR4812414,1759252
ERR4812414,2505085
TRL0022753,62657
TRL0022753,107794
TRL0022753,891756
TRL0022753,1759252
ERR2510502,931123
ERR2510502,1759252
ERR2510502,3273107
ERR4812780,62657
ERR4812780,107794
ERR4812780,891756
ERR4812780,1759252
ERR4796259,1759252
ERR4796259,4307886
ERR4796939,497491
ERR4796939,797736
ERR4796939,931123
ERR4796939,1759252
ERR4796939,2505085
ERR4831514,931123
ERR4831514,1759252
ERR4831514,3273107
ERR4798049,764995
ERR4798049,1759252
ERR4798049,3977226
ERR4798049,4398141
ERR4828462,615938
ERR4828462,931123
ERR4828462,1759252
ERR4828462,3021283
ERR4828462,4404247
ERR2184627,62657
ERR2184627,107794
ERR2184627,891756
